Player,pcode,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9
이동현,71118,4.0,12,6,0,0,0,5,0.7,11.25,0.0
백인식,78819,3.0,9,7,0,1,0,4,1.53,12.0,3.0
임정호,63959,4.0,12,3,0,2,0,6,1.7,13.5,4.5
홍성민,62655,8.0,24,17,0,0,1,7,1.83,7.88,0.0
이영준,64051,24.0,72,39,0,5,0,19,2.24,7.12,1.88
문경찬,65643,49.0,147,45,2,10,0,50,2.3,9.18,1.84
산체스,68815,163.0,489,151,2,42,2,148,2.35,8.17,2.32
김현수,69516,6.0,18,3,0,1,0,4,2.37,6.0,1.5
양현종,77637,184.0,552,165,6,33,2,163,2.42,7.97,1.61
오주원,74359,49.0,147,54,1,7,3,40,2.44,7.35,1.29
김성민,67828,50.0,150,53,0,11,2,38,2.46,6.84,1.98
하재훈,69813,54.0,162,47,1,26,1,64,2.57,10.67,4.33
서진용,61895,59.0,177,53,2,28,2,76,2.59,11.59,4.27
양기현,67365,5.0,15,12,0,1,0,3,2.6,5.4,1.8
조상우,63342,39.0,117,45,3,8,2,46,2.61,10.62,1.85
김승회,73248,46.0,138,57,1,16,2,46,2.66,9.0,3.13
린드블럼,65543,192.0,576,165,13,29,6,189,2.66,8.86,1.36
정찬헌,78148,9.0,27,11,0,6,0,11,2.76,11.0,6.0
김광현,77829,188.0,564,198,13,38,2,180,2.82,8.62,1.82
전상현,66609,50.0,150,45,3,21,2,62,2.88,11.16,3.78
한선태,69111,7.0,21,6,0,1,1,4,2.91,5.14,1.29
후랭코프,68240,113.0,339,110,5,30,13,111,2.95,8.84,2.39
라이블리,69439,57.0,171,51,4,13,5,58,3.02,9.16,2.05
김태훈,79847,62.0,186,62,4,26,4,76,3.04,11.03,3.77
최원태,65320,155.0,465,165,5,36,5,105,3.06,6.1,2.09
브리검,67313,155.0,465,148,5,46,12,130,3.06,7.55,2.67
원종현,76118,47.0,141,62,4,17,3,59,3.07,11.3,3.26
윌슨,68135,183.0,549,171,7,44,10,137,3.09,6.74,2.16
한현희,62363,49.0,147,50,1,20,7,49,3.12,9.0,3.67
최원준,67263,46.0,138,52,1,16,4,38,3.13,7.43,3.13
요키시,69343,172.0,516,160,9,37,10,135,3.13,7.06,1.94
윤영삼,61456,53.0,159,58,5,13,1,55,3.14,9.34,2.21
양현,61268,38.0,114,31,1,11,1,25,3.17,5.92,2.61
전유수,75340,50.0,150,66,2,18,4,46,3.2,8.28,3.24
조덕길,63348,5.0,15,9,0,2,0,3,3.2,5.4,3.6
조현우,64047,7.0,21,6,0,5,1,9,3.2,11.57,6.43
이승현,60146,29.0,87,28,2,11,1,31,3.2,9.62,3.41
고우석,67119,61.0,183,47,4,30,4,76,3.23,11.21,4.43
임현준,61457,23.0,69,34,2,12,3,35,3.24,13.7,4.7
켈리,69103,179.0,537,164,7,41,16,126,3.26,6.34,2.06
이보근,75342,14.0,42,29,1,4,0,12,3.27,7.71,2.57
서폴드,69744,191.0,573,191,8,54,8,135,3.3,6.36,2.54
강지광,79130,23.0,69,24,0,11,0,15,3.33,5.87,4.3
정우람,74857,50.0,150,57,4,16,1,48,3.34,8.64,2.88
진해수,76650,23.0,69,44,2,16,2,38,3.37,14.87,6.26
김재윤,65062,41.0,123,27,4,12,1,42,3.37,9.22,2.63
최영환,64718,16.0,48,21,1,9,1,20,3.39,11.25,5.06
헤일리,69435,86.0,258,95,5,34,6,84,3.4,8.79,3.56
프리드릭,69953,72.0,216,63,4,22,3,56,3.41,7.0,2.75
