Player,pcode,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9
이승헌,68910,5.1,16,9,0,1,0,7,1.14,11.81,1.69
김인범,69367,5.1,16,3,0,1,0,5,1.89,8.44,1.69
김지용,60181,4.0,12,2,0,1,1,5,2.2,11.25,2.25
임준형,69113,22.2,68,24,0,4,3,21,2.27,8.34,1.59
미란다,51257,173.2,521,135,11,63,1,225,2.54,11.66,3.26
홍건희,61643,74.1,223,65,3,27,0,82,2.61,9.93,3.27
수아레즈,51136,114.2,344,91,4,41,4,126,2.63,9.89,3.22
이용찬,77211,36.2,110,26,1,11,1,35,2.63,8.59,2.7
박진우,63991,11.0,33,6,0,5,1,12,2.65,9.82,4.09
지명성,51060,4.0,12,1,0,1,1,4,2.7,9.0,2.25
이현승,76329,23.0,69,16,1,6,0,20,2.81,7.83,2.35
유원상,76757,13.1,40,15,0,7,0,13,2.83,8.78,4.72
신재웅,75138,8.1,25,6,0,5,0,9,2.84,9.72,5.4
이정용,69134,68.2,206,55,4,23,1,74,2.85,9.7,3.01
오승환,75421,61.0,183,56,3,16,2,57,2.86,8.41,2.36
고우석,67119,58.0,174,47,3,23,3,68,2.87,10.55,3.57
이창재,65057,26.0,78,22,0,10,0,19,2.89,6.58,3.46
김대유,60337,51.1,154,32,2,15,9,56,2.93,9.82,2.63
박진형,63512,15.2,47,25,1,10,0,23,3.01,13.21,5.74
이상동,69054,6.1,19,7,0,3,0,5,3.04,7.11,4.26
백승현,65109,16.2,50,13,0,4,2,10,3.08,5.4,2.16
김민수,65048,57.0,171,52,2,23,3,55,3.09,8.68,3.63
브룩스,50636,78.0,234,93,4,16,1,55,3.11,6.35,1.85
고영표,64001,168.2,506,154,9,29,14,131,3.11,6.99,1.55
조현우,64047,29.2,89,25,0,7,1,13,3.13,3.94,2.12
안영명,73738,34.1,103,24,2,11,1,32,3.14,8.39,2.88
박시영,60559,45.0,135,30,4,15,1,51,3.16,10.2,3.0
폰트,51863,144.1,433,114,12,45,6,157,3.17,9.79,2.81
루친스키,69940,178.0,534,160,12,55,10,177,3.18,8.95,2.78
박건우,51645,3.0,9,2,0,1,1,3,3.2,9.0,3.0
김기탁,67711,12.2,38,14,0,7,1,12,3.2,8.53,4.97
로켓,51234,124.1,373,132,5,42,12,112,3.22,8.11,3.04
한승혁,61666,23.2,71,25,0,10,2,17,3.28,6.46,3.8
신재영,62937,28.1,85,35,3,2,4,27,3.31,8.58,0.64
김재윤,65062,67.0,201,57,5,24,0,64,3.33,8.6,3.22
킹험,50815,143.0,429,117,11,41,5,131,3.33,8.24,2.58
강재민,50705,62.2,188,51,2,26,5,55,3.34,7.9,3.73
뷰캐넌,50404,176.1,529,173,13,59,2,162,3.36,8.27,3.01
김태훈,62360,64.0,192,60,1,33,1,52,3.37,7.31,4.64
문승원,62869,49.2,149,42,1,18,2,32,3.38,5.8,3.26
원태인,69446,153.1,460,143,9,50,5,127,3.38,7.45,2.93
황영국,64760,14.2,44,16,0,10,1,15,3.4,9.2,6.14
다카하시,51636,36.0,108,46,4,12,4,46,3.42,11.5,3.0
쿠에바스,69032,132.2,398,131,11,51,3,137,3.43,9.29,3.46
요키시,69343,181.0,543,171,12,46,4,131,3.44,6.51,2.29
박종훈,60841,54.0,162,40,2,16,7,41,3.44,6.83,2.67
진해수,76650,44.1,133,41,2,18,3,39,3.45,7.92,3.65
김범수,65769,70.1,211,68,2,42,2,70,3.46,8.96,5.37
데스파이네,50040,186.2,560,175,10,78,7,165,3.49,7.96,3.76
정우영,69159,64.1,193,43,0,26,8,41,3.51,5.74,3.64
심재민,64017,46.2,140,41,4,11,0,35,3.52,6.75,2.12
