Player,pcode,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9
이승헌,68910,5.0,15,9,0,1,0,7,1.0,12.6,1.8
김인범,69367,5.0,15,3,0,1,0,5,1.8,9.0,1.8
김지용,60181,4.0,12,2,0,1,1,5,2.2,11.25,2.25
임준형,69113,22.0,66,24,0,4,3,21,2.25,8.59,1.64
이현승,76329,10.0,30,16,1,6,0,20,2.3,18.0,5.4
홍건희,61643,58.0,174,65,3,27,0,82,2.44,12.72,4.19
미란다,51257,172.0,516,135,11,63,1,225,2.53,11.77,3.3
박진우,63991,9.0,27,6,0,5,1,12,2.53,12.0,5.0
이용찬,77211,32.0,96,26,1,11,1,35,2.54,9.84,3.09
신재웅,75138,5.0,15,6,0,5,0,9,2.6,16.2,9.0
수아레즈,51136,115.0,345,91,4,41,4,126,2.63,9.86,3.21
지명성,51060,4.0,12,1,0,1,1,4,2.7,9.0,2.25
유원상,76757,10.0,30,15,0,7,0,13,2.7,11.7,6.3
김대유,60337,32.0,96,32,2,15,9,56,2.76,15.75,4.22
이정용,69134,56.0,168,55,4,23,1,74,2.77,11.89,3.7
이창재,65057,20.0,60,22,0,10,0,19,2.8,8.55,4.5
오승환,75421,55.0,165,56,3,16,2,57,2.82,9.33,2.62
고우석,67119,52.0,156,47,3,23,3,68,2.83,11.77,3.98
박진형,63512,11.0,33,25,1,10,0,23,2.93,18.82,8.18
이상동,69054,4.0,12,7,0,3,0,5,2.95,11.25,6.75
백승현,65109,12.0,36,13,0,4,2,10,3.03,7.5,3.0
김민수,65048,46.0,138,52,2,23,3,55,3.07,10.76,4.5
고영표,64001,165.0,495,147,9,27,14,130,3.08,7.09,1.47
조현우,64047,17.0,51,25,0,7,1,13,3.08,6.88,3.71
브룩스,50636,76.0,228,93,4,16,1,55,3.11,6.51,1.89
안영명,73738,28.0,84,24,2,11,1,32,3.13,10.29,3.54
박시영,60559,35.0,105,30,4,15,1,51,3.14,13.11,3.86
폰트,51863,145.0,435,114,12,45,6,157,3.17,9.74,2.79
루친스키,69940,178.0,534,160,12,55,10,177,3.18,8.95,2.78
김기탁,67711,7.0,21,14,0,7,1,12,3.2,15.43,9.0
박건우,51645,3.0,9,2,0,1,1,3,3.2,9.0,3.0
로켓,51234,121.0,363,132,5,42,12,112,3.22,8.33,3.12
한승혁,61666,21.0,63,25,0,10,2,17,3.3,7.29,4.29
신재영,62937,25.0,75,35,3,2,4,27,3.32,9.72,0.72
킹험,50815,142.0,426,117,11,41,5,131,3.33,8.3,2.6
뷰캐넌,50404,173.0,519,173,13,59,2,162,3.36,8.43,3.07
김재윤,65062,57.0,171,57,5,24,0,64,3.36,10.11,3.79
강재민,50705,51.0,153,51,2,26,5,55,3.38,9.71,4.59
문승원,62869,50.0,150,42,1,18,2,32,3.38,5.76,3.24
원태인,69446,151.0,453,143,9,50,5,127,3.39,7.57,2.98
김태훈,62360,54.0,162,60,1,33,1,52,3.4,8.67,5.5
다카하시,51636,36.0,108,46,4,12,4,46,3.42,11.5,3.0
쿠에바스,69032,130.0,390,131,11,51,3,137,3.44,9.48,3.53
요키시,69343,178.0,534,171,12,46,4,131,3.45,6.62,2.33
데스파이네,50040,183.0,549,175,10,78,7,165,3.5,8.11,3.84
황영국,64760,10.0,30,16,0,10,1,15,3.5,13.5,9.0
박종훈,60841,53.0,159,40,2,17,7,41,3.5,6.96,2.89
스트레일리,50558,161.0,483,162,12,67,7,164,3.51,9.17,3.75
진해수,76650,35.0,105,41,2,18,3,39,3.51,10.03,4.63
김범수,65769,54.0,162,68,2,42,2,70,3.53,11.67,7.0
파슨스,51967,130.0,390,109,9,63,11,148,3.53,10.25,4.36
윤정현,69399,11.0,33,11,0,5,1,7,3.56,5.73,4.09
심재민,64017,42.0,126,41,4,11,0,35,3.56,7.5,2.36
정우영,69159,45.0,135,43,0,26,8,41,3.64,8.2,5.2
한현희,62363,83.0,249,86,4,30,6,61,3.66,6.61,3.25
구승민,63543,52.0,156,45,4,30,4,65,3.66,11.25,5.19
김강률,77263,46.0,138,54,2,25,1,41,3.68,8.02,4.89
켈리,69103,176.0,528,160,12,60,11,142,3.68,7.26,3.07
배제성,65516,133.0,399,121,6,82,1,130,3.7,8.8,5.55
배재준,63145,29.0,87,42,1,13,3,23,3.72,7.14,4.03
정찬헌,78148,113.0,339,133,6,27,6,59,3.72,4.7,2.15
이인복,64565,57.0,171,75,5,14,5,45,3.76,7.11,2.21
오석주,67116,7.0,21,9,0,6,0,7,3.77,9.0,7.71
조상우,63342,37.0,111,30,4,19,2,47,3.77,11.43,4.62
이승현,51454,31.0,93,34,3,21,3,46,3.81,13.35,6.1
소형준,50030,116.0,348,123,6,51,4,85,3.83,6.59,3.96
멩덴,51619,117.0,351,109,12,35,8,104,3.86,8.0,2.69
장지훈,51895,69.0,207,84,6,19,3,49,3.87,6.39,2.48
송은범,73801,30.0,90,34,1,13,2,19,3.87,5.7,3.9
박웅,50205,10.0,30,12,0,4,3,7,3.9,6.3,3.6
임기영,62754,148.0,444,155,15,45,11,129,3.91,7.84,2.74
최성훈,62146,28.0,84,40,2,19,1,33,3.91,10.61,6.11
우규민,73117,39.0,117,58,5,9,2,35,3.92,8.08,2.08
최원준,67263,153.0,459,160,15,37,10,113,3.92,6.65,2.18
