Player,pcode,PA,HR,wOBA,ISO,BB%,K%,AB,1B,2B,3B,BB,HBP,SO
박계범,64468,386,5,0.323,0.09,11.4,17.6,323,68,12,1,44,9,68
마차도,50506,536,5,0.322,0.082,10.6,12.1,464,103,21,1,57,4,65
이재원,68106,172,6,0.322,0.155,8.1,27.9,155,27,6,0,14,2,48
이정훈,67644,151,2,0.321,0.093,12.6,21.9,129,24,6,0,19,3,33
안중열,64022,158,3,0.321,0.111,17.1,16.5,126,21,5,0,27,1,26
전민수,78361,108,3,0.32,0.124,10.2,21.3,97,19,3,0,11,0,23
호잉,68730,294,11,0.32,0.178,8.8,17.7,259,39,11,1,26,4,52
김헌곤,61404,360,4,0.319,0.077,9.4,12.5,313,74,8,2,34,5,45
이재원,76812,313,3,0.319,0.081,9.3,15.0,271,60,13,0,29,5,47
김석환,67610,20,1,0.319,0.158,0.0,35.0,19,4,0,0,0,1,7
페레즈,51714,252,5,0.319,0.143,6.7,20.6,224,39,15,1,17,4,52
김강민,71837,259,7,0.317,0.153,9.7,20.1,222,34,11,1,25,6,52
박민우,62907,213,1,0.316,0.079,10.3,10.8,178,38,5,3,22,7,23
정범모,76720,23,1,0.315,0.211,8.7,17.4,19,2,1,0,2,1,4
허경민,79240,521,5,0.314,0.087,7.1,6.7,470,101,24,1,37,8,35
장성우,78548,460,14,0.314,0.143,13.0,15.0,385,62,13,0,60,3,69
이원석,75566,476,9,0.314,0.116,12.6,16.8,395,64,19,0,60,11,80
문보경,69102,329,8,0.314,0.133,14.0,19.5,278,44,11,1,46,0,64
서건창,78168,597,6,0.313,0.09,11.6,13.1,510,97,24,2,69,9,78
크레익,51309,248,6,0.312,0.135,8.1,17.3,223,37,12,0,20,4,43
이병규,76100,43,0,0.311,0.0,18.6,32.6,34,8,0,0,8,1,14
최지훈,50854,533,5,0.311,0.1,9.6,13.3,461,91,19,6,51,7,71
김은성,65304,18,0,0.311,0.167,0.0,33.3,18,2,3,0,0,0,6
강진성,62925,455,7,0.31,0.103,7.9,14.5,399,74,20,0,36,14,66
터커,69652,540,9,0.31,0.113,11.3,12.2,469,77,24,1,61,8,66
추재현,68362,297,5,0.31,0.112,8.8,19.5,259,46,14,0,26,7,58
천성호,50054,47,0,0.31,0.024,6.4,19.1,42,11,1,0,3,2,9
송성문,65357,275,6,0.309,0.122,9.1,15.3,246,45,10,1,25,1,42
힐리,51725,268,7,0.309,0.137,6.0,21.6,249,45,11,1,16,2,58
정수빈,79231,351,3,0.308,0.115,8.3,14.2,313,55,19,4,29,3,50
오지환,79109,534,8,0.308,0.101,10.1,15.5,466,89,19,2,54,5,83
유강남,61102,442,11,0.307,0.123,5.7,17.0,398,73,16,0,25,14,75
김주원,51907,190,5,0.306,0.144,8.9,30.5,167,27,7,1,17,2,58
