Player,pcode,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9
배우열,79191,5.2,17,7,0,3,0,9,1.61,14.29,4.76
이상화,77563,10.1,31,6,0,5,1,14,2.23,12.19,4.35
손승락,75321,58.0,174,53,1,20,1,60,2.44,9.31,3.1
조상우,63342,18.1,55,16,1,6,2,23,2.71,11.29,2.95
최충연,66451,85.1,256,73,6,26,2,101,2.73,10.65,2.74
박경태,76653,6.1,19,7,0,2,1,6,2.73,8.53,2.84
윤영삼,61456,29.1,88,31,2,8,1,32,2.83,9.82,2.45
배민관,60105,11.0,33,9,0,4,2,11,2.84,9.0,3.27
소사,62698,181.1,544,192,16,28,4,181,2.88,8.98,1.39
배제성,65516,4.0,12,3,0,1,0,2,2.95,4.5,2.25
박상원,67703,60.0,180,59,3,20,4,62,2.98,9.3,3.0
이상민,63960,4.2,14,3,0,1,0,2,2.99,3.86,1.93
윌슨,68135,169.2,509,158,11,35,6,149,3.01,7.9,1.86
심동섭,60636,5.2,17,7,0,3,0,5,3.02,7.94,4.76
김건국,76225,11.0,33,11,1,0,1,9,3.02,7.36,0.0
이명우,72535,45.0,135,59,1,10,0,25,3.04,5.0,2.0
김강률,77263,75.2,227,72,7,24,3,81,3.33,9.63,2.85
전인환,79339,5.2,17,7,0,3,0,4,3.38,6.35,4.76
린드블럼,65543,168.2,506,142,16,38,8,157,3.39,8.38,2.03
정우람,74857,53.0,159,49,6,13,2,56,3.41,9.51,2.21
박치국,67266,67.2,203,80,5,14,9,60,3.41,7.98,1.86
박희수,76858,33.0,99,35,1,15,3,30,3.41,8.18,4.09
송은범,73801,79.0,237,77,2,33,5,61,3.43,6.95,3.76
로저스,65742,83.2,251,89,7,16,5,65,3.49,6.99,1.72
최원태,65320,133.2,401,144,8,35,11,101,3.5,6.8,2.36
함덕주,63248,68.0,204,58,4,36,4,75,3.52,9.93,4.76
김광현,77829,136.2,410,125,16,30,2,130,3.52,8.56,1.98
김태훈,79847,93.2,281,88,8,36,2,93,3.54,8.94,3.46
장필준,77927,66.1,199,65,6,25,6,74,3.55,10.04,3.39
이보근,75342,61.0,183,66,6,14,4,54,3.59,7.97,2.07
김성훈,67762,28.0,84,25,2,11,3,28,3.63,9.0,3.54
신정락,60140,50.2,152,59,5,17,6,55,3.67,9.77,3.02
고영표,64001,144.0,432,175,17,25,14,135,3.67,8.44,1.56
배재준,63145,39.0,117,34,3,20,1,41,3.71,9.46,4.62
샘슨,68748,161.0,483,144,17,79,5,195,3.72,10.9,4.42
이태양,60768,79.1,238,66,10,23,4,85,3.72,9.64,2.61
브리검,67313,198.0,594,188,19,50,19,175,3.73,7.95,2.27
우규민,73117,58.1,175,70,6,12,5,48,3.77,7.41,1.85
양현종,77637,183.1,550,199,21,43,2,152,3.77,7.46,2.11
켈리,65856,156.1,469,152,18,47,13,161,3.79,9.27,2.71
김진영,67737,11.1,34,13,1,4,0,9,3.82,7.15,3.18
임준혁,73632,7.1,22,12,0,3,0,2,3.88,2.45,3.68
정인욱,79440,30.2,92,31,3,9,3,27,3.88,7.92,2.64
김유신,68659,13.0,39,13,0,6,1,6,3.89,4.15,4.15
권오준,99445,43.1,130,43,7,12,3,52,3.94,10.8,2.49
이재학,60263,151.2,455,157,13,49,10,116,3.95,6.88,2.91
이용찬,77211,144.1,433,151,14,36,8,102,3.96,6.36,2.24
후랭코프,68240,148.2,446,118,12,55,22,134,4.0,8.11,3.33
최지광,67421,8.2,26,11,0,7,0,7,4.01,7.27,7.27
왕웨이중,68948,142.2,428,169,16,40,2,108,4.03,6.81,2.52
여건욱,79825,22.2,68,27,1,8,4,15,4.04,5.96,3.18
엄상백,65056,46.1,139,51,4,17,8,44,4.04,8.55,3.3
윤희상,74838,50.2,152,55,8,7,2,44,4.05,7.82,1.24
배영수,70425,55.0,165,69,6,15,6,47,4.05,7.69,2.45
헤일,68794,66.2,200,68,8,17,4,55,4.05,7.42,2.29
니퍼트,61240,175.1,526,209,26,39,9,165,4.07,8.47,2.0
박진우,63991,19.1,58,18,2,5,2,15,4.08,6.98,2.33
정찬헌,78148,65.2,197,76,5,24,7,50,4.08,6.85,3.29
고효준,72523,32.2,98,33,3,23,0,39,4.12,10.74,6.34
레일리,65546,182.2,548,183,24,55,18,181,4.13,8.92,2.71
김상수,76430,55.2,167,53,9,23,1,68,4.15,10.99,3.72
김재윤,65062,61.2,185,76,11,15,1,66,4.16,9.63,2.19
오현택,79293,64.2,194,66,11,12,3,63,4.16,8.77,1.67
피어밴드,65331,163.0,489,186,24,38,6,141,4.19,7.79,2.1
이종혁,67066,47.2,143,61,4,17,2,31,4.19,5.85,3.21
헥터,66643,173.1,520,209,25,36,4,137,4.19,7.11,1.87
휠러,68742,100.2,302,128,12,34,10,94,4.19,8.4,3.04
한주성,64255,4.0,12,8,0,1,1,1,4.2,2.25,2.25
박종훈,60841,161.2,485,161,16,55,20,135,4.21,7.52,3.06
윤성빈,67588,51.0,153,51,5,36,3,65,4.22,11.47,6.35
김세현,76350,40.0,120,56,4,16,2,32,4.25,7.2,3.6
아델만,68435,172.0,516,202,20,54,11,137,4.25,7.17,2.83
장원삼,76355,38.0,114,47,4,13,1,27,4.25,6.39,3.08
정성곤,65058,24.1,73,23,3,11,0,23,4.27,8.51,4.07
송승준,77591,78.2,236,93,8,35,4,68,4.28,7.78,4.0
장시환,77318,36.2,110,39,5,18,3,44,4.29,10.8,4.42
듀브론트,68526,137.2,413,162,13,62,8,109,4.37,7.13,4.05
윤길현,72862,33.0,99,33,4,15,0,29,4.38,7.91,4.09
심재민,64017,41.2,125,47,5,17,2,36,4.4,7.78,3.67
노경은,73211,132.0,396,127,18,30,4,89,4.4,6.07,2.05
백정현,77446,125.2,377,142,18,36,3,99,4.42,7.09,2.58
김성민,67828,47.2,143,61,6,21,3,45,4.46,8.5,3.97
김승현,66492,32.1,97,48,3,15,5,29,4.47,8.07,4.18
문승원,62869,150.2,452,180,24,37,4,122,4.47,7.29,2.21
임현준,61457,27.2,83,20,3,11,5,26,4.47,8.46,3.58
한승혁,61666,91.2,275,114,8,45,4,67,4.48,6.58,4.42
신재웅,75138,51.1,154,49,5,28,1,43,4.49,7.54,4.91
보니야,68400,168.1,505,193,23,63,12,151,4.52,8.07,3.37
장민재,79764,59.0,177,62,7,23,1,42,4.54,6.41,3.51
전상현,66609,10.1,31,19,1,5,0,7,4.55,6.1,4.35
박정수,65639,13.1,40,17,2,5,3,16,4.55,10.8,3.38
박진형,63512,13.0,39,23,1,8,1,11,4.58,7.62,5.54
임기준,60634,56.0,168,59,7,23,3,45,4.61,7.23,3.7
오주원,74359,52.1,157,61,8,13,1,36,4.61,6.19,2.24
원종현,76118,64.1,193,78,7,22,2,36,4.61,5.04,3.08
팻딘,67645,130.0,390,174,23,27,4,101,4.66,6.99,1.87
구승민,63543,74.0,222,62,12,31,3,75,4.66,9.12,3.77
강윤구,79358,55.2,167,54,10,26,1,65,4.66,10.51,4.2
베렛,68953,154.2,464,178,24,59,9,144,4.67,8.38,3.43
최채흥,68419,28.0,84,30,5,8,1,25,4.7,8.04,2.57
권혁,72447,10.2,32,9,2,4,0,11,4.7,9.28,3.38
김범수,65769,48.1,145,52,7,29,1,54,4.71,10.06,5.4
유원상,76757,46.2,140,63,5,17,5,30,4.72,5.79,3.28
윤규진,73750,83.2,251,99,14,30,6,81,4.73,8.71,3.23
정성종,68556,19.0,57,19,2,8,1,12,4.73,5.68,3.79
김윤동,62648,82.2,248,71,9,54,2,78,4.76,8.49,5.88
산체스,68815,145.1,436,161,26,39,7,124,4.77,7.68,2.42
임찬규,61101,145.1,436,195,23,47,13,125,4.78,7.74,2.91
박정배,75250,45.0,135,51,9,12,2,44,4.78,8.8,2.4
진해수,76650,43.0,129,63,7,13,4,37,4.78,7.74,2.72
홍성용,75149,44.2,134,49,7,17,5,42,4.83,8.46,3.43
구창모,65933,132.2,398,158,21,52,7,116,4.84,7.87,3.53
진명호,79545,61.1,184,53,7,46,1,65,4.86,9.54,6.75
양현,61268,32.1,97,31,4,13,1,20,4.87,5.57,3.62
박근홍,74630,23.1,70,28,3,12,6,27,4.87,10.41,4.63
유승철,67640,47.1,142,49,5,30,4,44,4.87,8.37,5.7
윤지웅,61329,6.0,18,9,0,3,3,4,4.87,6.0,4.5
김지용,60181,47.0,141,52,10,9,2,42,4.88,8.04,1.72
한현희,62363,169.0,507,208,22,49,20,104,4.89,5.54,2.61
심창민,61411,65.2,197,57,12,22,9,68,4.92,9.32,3.02
이현호,61214,27.2,83,37,4,13,1,23,4.93,7.48,4.23
김승회,73248,54.1,163,54,6,23,5,34,4.93,5.63,3.81
최동환,79140,37.0,111,33,6,11,3,28,4.93,6.81,2.68
문경찬,65643,55.0,165,62,10,17,2,46,4.93,7.53,2.78
이영하,66291,124.2,374,142,16,56,9,93,4.94,6.71,4.04
이동현,71118,35.2,107,49,6,7,3,23,4.94,5.8,1.77
김진욱,68701,5.2,17,6,0,3,3,4,4.96,6.35,4.76
이민호,62929,50.1,151,52,8,20,3,42,4.97,7.51,3.58
안영명,73738,66.0,198,83,12,15,4,48,4.97,6.55,2.05
이현승,76329,30.2,92,39,4,14,1,21,4.99,6.16,4.11
이형범,62951,53.1,160,62,5,24,1,22,5.0,3.71,4.05
최성영,66920,64.1,193,66,11,25,4,57,5.0,7.97,3.5
김택형,65343,11.2,35,9,1,10,0,11,5.0,8.49,7.71
이승진,64805,41.0,123,41,6,20,4,37,5.05,8.12,4.39
조정훈,75537,4.1,13,6,0,4,2,5,5.05,10.38,8.31
임창용,95657,86.0,258,92,16,30,11,84,5.1,8.79,3.14
황인준,65618,53.0,159,58,9,12,6,35,5.11,5.94,2.04
유희관,79229,140.1,421,197,23,42,4,81,5.16,5.19,2.69
안우진,68341,41.2,125,46,6,29,3,46,5.17,9.94,6.26
송창식,74731,12.2,38,15,2,4,1,8,5.17,5.68,2.84
홍상삼,78247,14.2,44,13,1,12,2,13,5.18,7.98,7.36
임창민,78352,7.0,21,8,2,2,0,9,5.2,11.57,2.57
김건태,60339,52.2,158,60,7,24,7,39,5.21,6.66,4.1
금민철,75258,154.1,463,212,19,68,7,79,5.23,4.61,3.97
차우찬,76455,170.1,511,177,27,79,10,136,5.23,7.19,4.17
김재영,66741,111.2,335,136,15,37,12,56,5.26,4.51,2.98
민태호,78366,9.2,29,11,1,4,1,4,5.27,3.72,3.72
배장호,76540,23.2,71,29,3,10,2,13,5.27,4.94,3.8
윤근영,75730,16.2,50,26,3,10,0,17,5.3,9.18,5.4
남윤성,67840,9.0,27,12,1,4,0,3,5.31,3.0,4.0
전유수,75340,18.0,54,21,3,8,2,15,5.37,7.5,4.0
양창섭,68415,87.1,262,100,12,34,10,49,5.38,5.05,3.5
김종수,63765,5.0,15,3,1,0,0,1,5.4,1.8,0.0
이민우,65616,37.1,112,52,4,24,5,28,5.42,6.75,5.79
윤석민,75620,40.0,120,55,9,10,0,29,5.43,6.53,2.25
김대현,66145,105.1,316,145,15,48,9,64,5.46,5.47,4.1
주권,65060,87.2,263,118,16,27,7,54,5.5,5.54,2.77
김정인,65392,7.1,22,14,1,3,1,4,5.52,4.91,3.68
박신지,68249,21.1,64,14,4,9,1,16,5.54,6.75,3.8
정영일,62056,44.0,132,48,7,21,5,33,5.54,6.75,4.3
이승호,67603,45.1,136,44,8,22,5,38,5.6,7.54,4.37
한기주,76610,39.0,117,54,8,12,5,30,5.64,6.92,2.77
배재환,64995,36.0,108,37,6,25,1,34,5.64,8.5,6.25
김원중,62528,145.0,435,173,28,77,11,137,5.64,8.5,4.78
고창성,78248,38.0,114,57,7,11,5,23,5.65,5.45,2.61
고우석,67119,67.2,203,69,10,37,5,44,5.68,5.85,4.92
김민우,65764,99.2,299,133,19,41,8,73,5.69,6.59,3.7
김민,68043,37.0,111,40,4,24,6,25,5.69,6.08,5.84
임기영,62754,104.1,313,145,20,34,12,68,5.71,5.87,2.93
조덕길,63348,26.2,80,35,6,13,0,25,5.71,8.44,4.39
해커,63938,79.2,239,86,16,30,5,56,5.72,6.33,3.39
강동연,61295,12.0,36,10,2,5,0,5,5.78,3.75,3.75
하영민,64350,16.2,50,30,3,7,1,10,5.78,5.4,3.78
김동준,62360,47.1,142,61,10,18,4,36,5.82,6.85,3.42
임준섭,62611,8.1,25,8,1,6,1,6,5.84,6.48,6.48
윤성환,74454,116.1,349,164,28,32,9,89,5.86,6.89,2.48
윤수호,65064,25.1,76,33,4,17,1,19,5.88,6.75,6.04
김사율,99563,45.1,136,56,12,10,2,35,5.89,6.95,1.99
김태오,66064,21.0,63,32,4,9,2,14,5.91,6.0,3.86
홍성민,62655,3.2,11,6,1,1,0,3,5.93,7.36,2.45
곽빈,68220,31.1,94,44,6,17,3,26,5.94,7.47,4.88
장원준,74513,72.2,218,102,12,35,11,47,5.95,5.82,4.33
정수민,66960,58.0,174,69,10,33,3,38,5.99,5.9,5.12
박주홍,68703,18.2,56,26,4,10,2,18,5.99,8.68,4.82
정용운,79617,9.2,29,10,1,8,0,5,5.99,4.66,7.45
서진용,61895,50.0,150,52,14,23,2,58,6.02,10.44,4.14
하준영,68639,14.2,44,16,3,8,1,12,6.06,7.36,4.91
변진수,62263,10.2,32,16,2,3,4,8,6.11,6.75,2.53
손주영,67143,11.2,35,13,0,14,2,7,6.11,5.4,10.8
노성호,62920,32.2,98,35,6,29,1,36,6.14,9.92,7.99
김영준,68130,20.2,62,19,3,15,3,16,6.15,6.97,6.53
홍건희,61643,16.2,50,32,4,7,1,13,6.2,7.02,3.78
류희운,64029,44.1,133,53,11,14,2,28,6.25,5.68,2.84
이승현,60146,16.2,50,23,4,7,2,14,6.26,7.56,3.78
박세웅,64021,48.1,145,83,10,29,4,40,6.28,7.45,5.4
김정후,61962,17.1,52,12,3,12,1,12,6.32,6.23,6.23
신병률,68067,25.2,77,35,6,7,3,14,6.32,4.91,2.45
김선기,66018,22.2,68,34,5,16,0,21,6.33,8.34,6.35
서균,64759,37.0,111,39,7,16,7,22,6.34,5.35,3.89
박시영,60559,26.1,79,35,6,14,1,19,6.43,6.49,4.78
최성훈,62146,16.2,50,17,4,9,1,14,6.44,7.56,4.86
유재유,66160,6.1,19,11,1,3,3,5,6.52,7.11,4.26
최동현,67263,9.1,28,22,2,0,5,5,6.52,4.82,0.0
김재균,68908,5.2,17,3,0,9,0,4,6.55,6.35,14.29
김대우,61365,36.2,110,53,7,18,3,15,6.58,3.68,4.42
장현식,63950,26.2,80,31,7,16,0,24,6.61,8.1,5.4
채병용,71845,29.1,88,33,8,8,1,15,6.64,4.6,2.45
김진성,75867,45.1,136,56,13,19,2,38,6.64,7.54,3.77
최금강,62966,37.1,112,51,8,22,2,18,6.95,4.34,5.3
신재영,62937,101.0,303,133,31,22,8,53,7.03,4.72,1.96
백인식,78819,14.1,43,17,4,9,3,14,7.39,8.79,5.65
현도훈,68260,8.2,26,11,2,6,1,5,7.47,5.19,6.23
최대성,74543,10.0,30,15,3,8,0,10,7.5,9.0,7.2
윤강민,63936,6.0,18,14,1,5,2,4,7.53,6.0,7.5
김용하,68453,3.0,9,2,0,4,3,4,7.53,12.0,12.0
박세진,66047,31.0,93,47,10,19,2,24,7.88,6.97,5.52
김시현,67467,5.0,15,10,2,2,2,5,8.8,9.0,3.6
김주한,66859,6.0,18,9,2,6,0,5,8.87,7.5,9.0
강지광,79130,3.0,9,8,1,4,0,3,9.53,9.0,12.0
문광은,60845,6.2,20,11,3,5,0,5,9.8,6.75,6.75
김대우,78536,3.1,10,8,2,1,0,2,10.7,5.4,2.7
이원준,67863,3.2,11,13,3,1,0,2,13.56,4.91,2.45
