Player,pcode,PA,HR,wOBA,ISO,BB%,K%,AB,1B,2B,3B,BB,HBP,SO
강태율,65514,18,2,0.65,0.545,38.9,11.1,11,3,0,0,7,0,2
로하스,67025,629,47,0.464,0.331,10.3,21.0,550,105,39,1,65,5,132
이재율,66968,10,0,0.463,0.111,10.0,10.0,9,3,1,0,1,0,1
김성민,50848,16,2,0.462,0.429,6.2,18.8,14,2,0,0,1,1,3
최형우,72443,601,28,0.441,0.236,11.6,16.8,522,119,37,1,70,5,101
양의지,76232,530,33,0.428,0.275,8.7,8.9,461,91,26,1,46,14,47
나성범,62947,584,34,0.425,0.272,8.4,25.3,525,97,37,2,49,9,148
강백호,68050,575,23,0.414,0.214,11.5,16.2,500,105,36,1,66,5,93
터커,69652,632,32,0.412,0.251,12.0,10.6,542,94,40,0,76,9,67
류지혁,62234,51,1,0.409,0.143,2.0,11.8,42,12,3,0,1,5,6
로맥,67872,587,32,0.409,0.264,15.5,19.8,485,73,32,0,91,6,116
라모스,50165,495,38,0.407,0.313,11.1,27.5,431,63,17,2,55,4,136
최정,75847,554,33,0.403,0.268,13.5,17.7,452,67,22,0,75,20,98
김하성,64300,623,30,0.399,0.218,12.0,10.9,533,108,24,1,75,8,68
김현수,76290,620,22,0.399,0.192,10.2,8.5,547,122,35,2,63,2,53
박석민,74465,450,14,0.397,0.16,16.7,13.8,356,80,15,0,75,10,62
손아섭,77532,611,11,0.397,0.141,10.0,9.2,540,136,43,0,61,2,56
이정후,67341,618,15,0.397,0.191,9.5,7.6,544,112,49,5,59,4,47
이형종,78135,324,17,0.394,0.251,8.3,18.8,287,49,17,2,27,7,61
페르난데스,69209,668,21,0.394,0.157,8.7,6.3,586,149,29,0,58,13,42
살라디노,50468,163,6,0.393,0.197,14.1,25.2,132,23,8,0,23,7,41
오재일,75334,534,16,0.383,0.17,11.4,17.2,471,99,32,0,61,0,92
알테어,50923,548,31,0.383,0.263,8.4,27.2,482,76,20,7,46,12,149
황재균,76313,601,21,0.381,0.2,7.8,16.3,541,108,35,5,47,5,98
박민우,62907,532,8,0.381,0.131,6.8,9.0,467,121,27,5,36,15,48
한동민,62895,232,15,0.378,0.259,12.9,21.1,193,28,5,0,30,6,49
김재환,78224,614,30,0.378,0.229,14.8,25.1,516,80,26,1,91,1,154
구자욱,62404,511,15,0.377,0.17,10.0,17.8,446,93,27,2,51,8,91
김동엽,66838,452,20,0.376,0.196,6.4,17.5,413,88,21,0,29,4,79
이병규,76100,194,9,0.374,0.189,14.4,28.4,164,32,4,0,28,1,55
채태인,77463,189,7,0.373,0.162,15.3,17.5,160,33,5,0,29,0,33
이창진,64560,100,0,0.372,0.114,10.0,17.0,88,20,8,1,10,1,17
김형준,68912,82,3,0.372,0.139,12.2,25.6,72,18,1,0,10,0,21
나지완,78629,557,17,0.371,0.154,11.5,20.5,468,99,19,1,64,18,114
홍창기,66108,507,5,0.37,0.137,16.4,17.2,408,74,29,6,83,10,87
강민호,74540,393,19,0.365,0.2,7.9,13.7,355,69,14,0,31,4,54
최주환,76267,574,16,0.365,0.167,8.2,11.5,509,107,29,4,47,7,66
박건우,79215,552,14,0.365,0.168,7.6,11.8,487,94,40,0,42,12,65
박경수,73113,391,13,0.365,0.173,12.3,24.6,324,61,17,0,48,9,96
노진혁,62931,484,20,0.364,0.206,10.1,21.9,427,72,22,3,49,5,106
김주찬,70410,18,1,0.364,0.167,0.0,11.1,18,5,0,0,0,0,2
김호재,64407,138,1,0.363,0.068,11.6,13.8,118,32,5,0,16,3,19
손호영,50150,31,0,0.363,0.067,3.2,19.4,30,9,2,0,1,0,6
허경민,79240,487,7,0.36,0.11,7.2,5.7,437,112,25,1,35,5,28
김선빈,78603,351,1,0.36,0.073,11.4,12.3,303,80,19,0,40,2,43
전준우,78513,630,26,0.359,0.203,8.3,12.5,562,96,34,1,52,8,79
오윤석,64504,197,4,0.359,0.125,12.2,23.9,168,38,7,1,24,2,47
정훈,60523,478,11,0.357,0.132,11.7,17.8,410,90,19,1,56,4,85
오지환,79109,591,10,0.357,0.161,7.6,19.6,527,100,41,7,45,9,116
황대인,65610,138,4,0.357,0.138,15.2,21.0,116,24,4,0,21,0,29
김상수,79402,473,5,0.356,0.097,11.6,11.6,404,97,18,3,55,8,55
박병호,75125,384,21,0.352,0.227,14.8,29.7,309,41,7,0,57,9,114
강진성,62925,434,12,0.352,0.154,4.6,10.6,395,85,25,0,20,9,46
채은성,79192,465,15,0.351,0.159,6.9,14.8,416,88,17,2,32,9,69
이대호,71564,613,20,0.351,0.161,8.6,11.1,542,111,27,0,53,5,68
최원준,66606,412,2,0.35,0.095,8.0,8.5,359,93,16,6,33,6,35
지성준,64717,11,0,0.35,0.0,27.3,36.4,8,2,0,0,3,0,4
한동희,68525,533,17,0.349,0.158,10.7,18.2,461,89,22,0,57,5,97
배정대,64166,616,13,0.349,0.131,11.0,23.1,533,113,25,3,68,5,142
권희동,63963,428,12,0.347,0.15,13.6,16.8,346,62,16,0,58,11,72
서건창,78168,596,5,0.346,0.11,15.3,9.7,484,96,28,5,91,5,58
최정원,69992,48,0,0.344,0.125,14.6,27.1,40,7,3,1,7,0,13
김민하,61554,85,1,0.343,0.122,9.4,18.8,74,14,6,0,8,2,16
마차도,50506,561,12,0.341,0.142,9.6,10.7,486,92,31,1,54,8,60
최재훈,78288,390,3,0.341,0.083,7.4,11.3,339,80,19,0,29,16,44
반즈,50730,320,9,0.339,0.163,8.4,25.3,283,48,17,1,27,7,81
김웅빈,65898,235,8,0.337,0.179,7.2,27.7,207,36,13,0,17,3,65
송준석,64469,50,1,0.336,0.17,4.0,12.0,47,7,5,0,2,1,6
정수빈,79231,559,5,0.336,0.098,9.8,10.0,490,116,17,8,55,2,56
박동원,79365,372,12,0.336,0.176,10.2,18.3,324,48,21,0,38,6,68
안치홍,79608,461,8,0.335,0.126,7.6,10.2,412,82,28,0,35,7,47
허정협,65399,360,10,0.335,0.134,11.1,20.3,314,62,12,0,40,2,73
유한준,74339,429,11,0.334,0.13,9.3,11.9,386,80,17,0,40,0,51
모창민,78813,151,2,0.334,0.147,5.3,14.6,136,27,10,2,8,1,22
최영진,61197,118,1,0.334,0.059,11.0,13.6,101,26,3,0,13,2,16
백용환,78643,107,5,0.334,0.209,14.0,27.1,91,11,4,0,15,0,29
이성곤,64266,154,5,0.331,0.158,7.1,24.7,139,27,7,0,11,0,38
문상철,64007,172,8,0.331,0.201,6.4,25.0,154,27,3,2,11,2,43
박해민,62415,542,11,0.331,0.125,7.2,14.2,489,108,18,5,39,3,77
이명기,76849,540,2,0.331,0.063,9.3,14.4,477,123,18,3,50,4,78
박준태,64657,442,5,0.33,0.086,14.7,27.1,347,66,13,1,65,19,120
이원석,75566,468,13,0.33,0.139,10.5,17.5,403,78,17,0,49,3,82
조용호,64868,483,0,0.329,0.037,13.3,17.2,409,106,15,0,64,2,83
김혜성,67304,554,7,0.328,0.114,8.3,17.0,499,105,24,6,46,2,94
유강남,61102,479,16,0.328,0.154,6.7,17.5,429,78,18,0,32,13,84
화이트,50802,30,1,0.328,0.182,20.0,3.3,22,1,1,0,6,2,1
이용규,74163,489,1,0.327,0.05,12.1,7.4,419,103,14,2,59,6,36
김강민,71837,328,12,0.323,0.17,8.2,18.9,289,49,11,1,27,4,62
박용택,72133,236,2,0.323,0.097,6.4,14.4,217,48,15,0,15,0,34
장성우,78548,456,13,0.323,0.135,8.3,14.0,400,83,15,0,38,1,64
이지영,79456,289,0,0.323,0.053,6.6,9.7,262,69,10,2,19,4,28
최항,62884,155,2,0.322,0.068,13.5,17.4,132,30,3,0,21,1,27
임병욱,64346,41,0,0.321,0.108,9.8,24.4,37,6,4,0,4,0,10
신민재,65207,32,0,0.321,0.038,12.5,12.5,26,7,1,0,4,0,4
오태곤,60558,258,5,0.319,0.124,5.0,18.2,234,46,12,1,13,7,47
이해창,60343,135,3,0.319,0.118,6.7,17.0,119,24,5,0,9,4,23
오선우,69636,73,4,0.319,0.179,4.1,35.6,67,12,0,0,3,3,26
김재호,74206,458,2,0.319,0.057,9.8,9.8,402,98,15,1,45,4,45
장승현,63202,22,0,0.318,0.15,4.5,27.3,20,2,3,0,1,1,6
정은원,68743,303,3,0.318,0.087,13.5,13.5,254,49,9,2,41,5,41
유민상,62265,457,8,0.317,0.12,11.6,17.5,391,65,23,0,53,6,80
박승욱,62802,127,1,0.316,0.091,8.7,29.1,110,23,3,2,11,4,37
강한울,64610,122,1,0.315,0.057,9.0,19.7,105,28,3,0,11,0,24
이원재,62025,146,4,0.315,0.159,7.5,17.8,132,23,5,2,11,0,26
박세혁,62244,423,4,0.313,0.094,8.3,10.6,360,73,18,2,35,12,45
오준혁,61743,161,3,0.312,0.108,6.8,21.1,148,30,7,0,11,1,34
김인태,63257,110,1,0.311,0.095,19.1,11.8,84,11,5,0,21,2,13
김민성,77564,333,5,0.311,0.118,7.2,19.8,297,54,20,0,24,4,66
김찬형,66917,73,0,0.311,0.094,5.5,15.1,64,13,6,0,4,1,11
강경학,61700,238,4,0.31,0.109,14.7,26.9,193,32,7,1,35,3,64
나주환,73209,223,6,0.309,0.113,5.4,19.7,204,46,5,0,12,1,44
김주형,69306,50,1,0.309,0.14,8.0,20.0,43,6,3,0,4,2,10
정진호,61208,326,2,0.307,0.078,8.9,15.3,282,61,14,1,29,3,50
최용제,64213,49,0,0.307,0.045,8.2,16.3,44,12,0,1,4,0,8
이진영,66657,27,0,0.307,0.045,18.5,33.3,22,4,1,0,5,0,9
이유찬,67207,108,0,0.306,0.045,13.0,23.1,89,20,2,1,14,2,25
고종욱,61353,288,3,0.306,0.088,4.9,19.1,272,62,9,3,14,1,55
유서준,64890,25,1,0.305,0.167,4.0,28.0,24,4,1,0,1,0,7
김문호,76509,52,2,0.305,0.152,9.6,21.2,46,7,1,0,5,1,11
김준태,62558,370,5,0.305,0.101,15.1,17.3,306,50,12,2,56,1,64
노시환,69737,388,12,0.305,0.168,8.5,29.9,346,44,18,2,33,7,116
박정현,50709,64,1,0.305,0.098,4.7,26.6,61,13,3,0,3,0,17
김호령,65653,159,4,0.305,0.152,8.8,34.6,138,21,5,2,14,3,55
김태군,78122,131,1,0.304,0.08,4.6,10.7,113,26,6,0,6,4,14
오재원,77248,174,5,0.302,0.155,9.2,28.2,155,23,7,1,16,0,49
양석환,64153,132,3,0.301,0.119,7.6,18.9,118,21,5,0,10,2,25
최진행,74729,241,8,0.299,0.136,7.5,24.5,214,37,5,0,18,5,59
이천웅,61186,361,3,0.298,0.077,9.7,12.2,312,64,11,2,35,4,44
허도환,77243,62,0,0.297,0.019,9.7,24.2,53,13,1,0,6,2,15
전병우,65586,402,8,0.297,0.12,9.2,24.9,359,61,13,3,37,2,100
하주석,62700,282,2,0.297,0.065,4.6,23.4,262,62,11,0,13,2,66
변상권,68305,64,1,0.296,0.129,1.6,31.2,62,11,5,0,1,0,20
한승택,63722,262,9,0.295,0.146,8.0,22.1,226,36,6,0,21,6,58
러셀,50350,272,2,0.295,0.082,8.1,13.6,244,46,14,0,22,3,37
김민혁,64004,249,5,0.294,0.108,8.8,16.9,222,41,5,2,22,2,42
박성한,67893,112,2,0.293,0.081,9.8,18.8,99,20,2,0,11,1,21
노수광,63704,331,1,0.293,0.065,10.3,19.3,291,59,10,3,34,2,64
김호은,66113,112,2,0.293,0.107,6.2,12.5,103,18,5,0,7,2,14
이학주,69453,243,4,0.289,0.112,10.7,23.9,206,32,11,0,26,2,58
김성현,76802,393,2,0.289,0.05,7.6,6.9,343,81,9,1,30,5,27
김재유,65506,135,1,0.287,0.034,8.9,25.9,116,28,1,0,12,3,35
김성욱,62934,226,8,0.287,0.154,7.5,17.7,195,30,4,1,17,4,40
송광민,76753,298,9,0.286,0.141,4.7,23.2,277,44,12,0,14,3,69
최지훈,50854,521,1,0.285,0.069,7.3,15.4,466,95,19,5,38,5,80
정주현,79150,372,4,0.284,0.091,7.8,16.9,328,63,10,4,29,3,63
김용의,78217,75,1,0.284,0.086,4.0,20.0,70,16,1,1,3,0,15
국해성,79290,94,3,0.284,0.116,6.4,22.3,86,16,1,0,6,1,21
박찬도,62409,116,1,0.283,0.083,12.9,19.0,96,15,5,0,15,1,22
김헌곤,61404,283,3,0.283,0.067,7.8,11.0,254,52,8,0,22,3,31
서예일,66203,29,0,0.282,0.08,10.3,24.1,25,4,2,0,3,0,7
팔카,50469,218,8,0.281,0.158,8.3,26.6,196,26,7,0,18,0,58
김태균,71752,254,2,0.281,0.078,11.8,16.5,219,35,11,0,30,2,42
김준완,63920,75,1,0.279,0.062,13.3,12.0,65,12,1,0,10,0,9
김경호,64260,110,0,0.279,0.048,2.7,14.5,105,26,3,1,3,0,16
양찬열,50293,26,0,0.278,0.0,11.5,7.7,22,5,0,0,3,1,2
이성우,71184,87,3,0.278,0.13,6.9,16.1,77,14,1,0,6,0,14
박승규,69418,196,1,0.277,0.077,3.6,16.3,182,35,11,0,7,3,32
정근우,75808,177,1,0.276,0.045,9.6,13.0,154,32,4,0,17,2,23
김민식,62864,239,2,0.275,0.066,7.1,11.7,211,44,6,1,17,2,28
신본기,62556,123,2,0.274,0.066,11.4,17.9,106,20,1,0,14,1,22
최준우,68868,207,3,0.273,0.071,9.2,13.5,182,36,4,0,19,0,28
백동훈,63559,19,0,0.273,0.062,5.3,21.1,16,2,1,0,1,2,4
강현우,50066,32,1,0.272,0.167,6.2,34.4,30,3,2,0,2,0,11
박주홍,50357,25,0,0.272,0.083,4.0,40.0,24,4,2,0,1,0,10
임종찬,50704,119,1,0.271,0.074,7.6,31.9,108,19,5,0,9,1,38
이성열,73136,248,8,0.271,0.128,6.5,27.8,227,33,5,0,16,5,69
강로한,65515,26,0,0.271,0.0,15.4,23.1,21,4,0,0,4,1,6
지석훈,73306,142,1,0.27,0.091,10.6,23.2,121,16,8,0,15,2,33
이성규,66409,245,10,0.27,0.181,7.3,26.1,216,21,7,1,18,5,64
송민섭,64012,51,1,0.267,0.146,9.8,25.5,41,5,1,1,5,1,13
장준원,64115,68,1,0.266,0.1,8.8,10.3,60,9,3,0,6,0,7
정진기,61869,140,2,0.264,0.095,5.0,24.3,126,24,2,2,7,1,34
이흥련,63440,133,3,0.262,0.08,4.5,21.8,125,26,1,0,6,0,29
정의윤,75151,203,1,0.261,0.053,5.9,18.7,187,38,5,1,12,1,38
오선진,78756,223,2,0.26,0.051,7.2,17.5,197,40,4,0,16,3,39
이홍구,63634,96,3,0.26,0.131,6.2,27.1,84,11,2,0,6,3,26
민병헌,76249,343,2,0.26,0.058,6.1,18.1,309,58,12,0,21,5,62
김도환,69442,50,0,0.259,0.049,10.0,32.0,41,7,2,0,5,1,16
호잉,68730,134,4,0.259,0.129,6.7,25.4,124,16,4,0,9,1,34
심우준,64006,535,3,0.259,0.065,6.9,18.3,476,90,16,3,37,2,98
김지찬,50458,288,1,0.258,0.039,8.3,15.3,254,52,5,1,24,2,44
김창평,69825,90,0,0.258,0.077,12.2,17.8,78,10,4,1,11,0,16
이택근,73342,64,0,0.258,0.088,10.9,32.8,57,6,5,0,7,0,21
조수행,66209,40,0,0.257,0.0,5.0,15.0,38,10,0,0,2,0,6
김동한,61204,73,0,0.256,0.074,6.8,11.0,68,10,5,0,5,0,8
권민석,68204,57,0,0.253,0.04,5.3,26.3,50,11,2,0,3,0,15
백승현,65109,40,0,0.252,0.034,10.0,20.0,29,6,1,0,4,1,8
박재욱,64100,17,0,0.252,0.0,0.0,23.5,15,4,0,0,0,1,4
황윤호,62908,73,0,0.251,0.043,4.1,12.3,70,14,3,0,3,0,9
안권수,50202,41,0,0.251,0.0,4.9,12.2,37,10,0,0,2,0,5
노태형,64704,115,0,0.251,0.059,6.1,27.0,102,17,4,1,7,3,31
이우성,63260,67,0,0.248,0.017,9.0,16.4,59,11,1,0,6,2,11
홍종표,50600,88,0,0.247,0.037,4.5,14.8,80,17,3,0,4,0,13
천성호,50054,78,0,0.246,0.043,9.0,19.2,69,11,3,0,7,1,15
주효상,66354,101,0,0.245,0.048,12.9,25.7,84,12,4,0,13,0,26
조한민,69705,52,0,0.245,0.08,0.0,42.3,50,7,4,0,0,2,22
김태진,64984,280,1,0.245,0.038,4.6,16.1,263,55,5,1,13,1,45
박찬호,64646,532,3,0.244,0.052,6.8,16.4,480,88,16,0,36,0,87
