Player,pcode,Team,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9,WAR
박시원,55121,LG,16.0,48,21,0,8,3,10,4.01,5.62,4.5,0.29
최민준,68856,SSG,63.0,189,69,10,31,4,54,5.22,7.71,4.43,0.29
박상원,67703,한화,27.0,81,40,5,13,2,35,4.68,11.67,4.33,0.28
손동현,69041,KT,28.0,84,32,3,17,2,26,4.77,8.36,5.46,0.27
이태양,60768,KIA,14.0,42,12,1,4,1,9,3.91,5.79,2.57,0.27
이정용,69134,LG,43.0,129,70,4,21,3,22,5.06,4.6,4.4,0.27
우규민,73117,KT,23.0,69,33,3,4,1,11,4.59,4.3,1.57,0.26
이승민,50464,삼성,27.0,81,34,2,23,2,29,4.79,9.67,7.67,0.25
최승용,51264,두산,67.0,201,86,10,29,3,43,5.29,5.78,3.9,0.25
베니지아노,56841,SSG,80.0,240,101,15,32,10,75,5.34,8.44,3.6,0.25
리오스,56146,LG,14.0,42,13,2,5,0,15,3.99,9.64,3.21,0.25
곽도규,53609,KIA,8.0,24,11,0,6,3,14,3.08,15.75,6.75,0.23
임기영,62754,삼성,32.0,96,37,5,9,3,22,4.98,6.19,2.53,0.23
임지민,52902,NC,31.0,93,31,7,19,2,50,4.94,14.52,5.52,0.23
이진하,53562,롯데,7.0,21,6,0,1,1,5,2.63,6.43,1.29,0.23
윤태호,52202,두산,8.0,24,8,0,6,0,9,3.2,10.12,6.75,0.22
양현종,77637,KIA,80.0,240,78,12,39,1,51,5.38,5.74,4.39,0.22
양재훈,55215,두산,20.0,60,27,3,14,4,31,4.75,13.95,6.3,0.19
김태훈,62360,삼성,16.0,48,12,2,4,2,11,4.58,6.19,2.25,0.19
김강현,65522,롯데,14.0,42,14,0,12,0,9,4.49,5.79,7.71,0.18
이이무라,56503,롯데,7.0,21,7,1,1,0,7,3.49,9.0,1.29,0.17
시라카와,54843,KIA,27.0,81,24,3,17,1,21,5.09,7.0,5.67,0.16
김유영,64596,LG,4.0,12,3,0,4,0,8,2.2,18.0,9.0,0.15
김태훈,55995,NC,6.0,18,4,0,2,1,4,3.37,6.0,3.0,0.15
이용준,51948,NC,4.0,12,2,0,0,0,2,2.2,4.5,0.0,0.15
황준서,54729,한화,21.0,63,27,2,19,1,24,5.01,10.29,8.14,0.14
