Player,IP,SO,FIP,K/9,BB/9
66451,80.7,57,5.84,6.36,5.36
64350,42.3,23,5.85,4.89,6.38
60634,20.7,11,5.86,4.79,7.4
79764,59.7,29,5.88,4.37,3.47
66226,82.3,50,5.96,5.47,4.15
72447,30.7,17,6.0,4.99,2.64
65060,77.7,43,6.03,4.98,3.59
60181,50.0,37,6.06,6.66,2.52
75149,37.0,22,6.09,5.35,4.14
79847,40.7,26,6.1,5.75,4.2
64907,23.0,16,6.11,6.26,6.26
73801,34.3,14,6.17,3.67,6.03
62966,84.3,39,6.19,4.16,3.52
78247,17.0,7,6.2,3.71,5.82
79617,55.7,28,6.2,4.53,5.98
61365,45.7,27,6.24,5.32,5.12
72551,25.7,8,6.28,2.81,2.81
75730,15.7,9,6.33,5.17,2.87
67312,7.3,6,6.34,7.36,2.45
61214,27.3,17,6.35,5.6,4.61
60264,62.3,25,6.36,3.61,3.32
65516,30.0,16,6.37,4.8,6.9
79358,52.0,47,6.39,8.13,4.15
61215,5.0,4,6.4,7.2,14.4
76858,36.0,28,6.45,7.0,4.75
66960,27.0,27,6.46,9.0,5.33
67360,6.7,4,6.5,5.4,12.15
60768,56.3,25,6.57,3.99,4.15
66492,41.7,35,6.58,7.56,7.34
79140,36.3,27,6.59,6.69,3.72
66291,33.3,23,6.65,6.21,4.32
60337,4.3,2,6.66,4.15,4.15
74630,14.0,14,6.7,9.0,9.0
60559,54.3,45,6.72,7.45,5.3
66660,7.3,7,6.75,8.59,11.05
61396,4.3,3,6.89,6.23,2.08
72641,32.0,18,6.92,5.06,6.47
61496,28.3,24,6.94,7.62,6.04
67066,18.0,8,6.98,4.0,5.0
63027,11.3,8,6.99,6.35,7.94
67467,20.3,13,6.99,5.75,6.64
72749,10.3,7,7.07,6.1,3.48
67423,47.0,28,7.16,5.36,5.17
70142,19.7,9,7.17,4.12,1.37
76639,12.3,9,7.17,6.57,2.92
66305,3.0,0,7.2,0.0,9.0
79440,30.7,24,7.21,7.04,4.11
64029,77.0,49,7.34,5.73,6.19
72261,13.7,5,7.37,3.29,1.98
60457,10.7,11,7.42,9.28,2.53
65042,5.3,4,7.51,6.75,10.12
73211,14.0,8,7.7,5.14,5.14
66493,12.3,13,7.9,9.49,10.95
65769,29.3,16,7.97,4.91,7.36
60146,29.7,19,8.19,5.76,6.67
65764,6.0,4,8.53,6.0,9.0
66920,10.3,7,9.49,6.1,6.1
60105,3.3,2,9.5,5.4,10.8
63749,10.3,8,9.78,6.97,10.45
62056,7.3,2,10.84,2.45,7.36
64995,8.0,4,10.95,4.5,6.75
72321,3.0,4,13.53,12.0,0.0
