Player,pcode,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9
임창민,78352,28.0,84,39,4,23,2,44,4.59,14.14,7.39
박진형,63512,30.0,90,56,7,13,4,50,4.6,15.0,3.9
박종훈,60841,153.0,459,146,14,78,22,134,4.6,7.88,4.59
하준호,78517,34.0,102,38,1,27,2,26,4.61,6.88,7.15
김민우,65764,128.0,384,121,15,72,7,124,4.64,8.72,5.06
이태양,60768,45.0,135,68,8,16,1,45,4.64,9.0,3.2
김영규,68900,65.0,195,83,12,14,2,55,4.65,7.62,1.94
박세웅,64021,144.0,432,177,20,47,8,108,4.65,6.75,2.94
유희관,79229,134.0,402,190,14,39,3,56,4.66,3.76,2.62
차우찬,76455,63.0,189,71,8,28,2,51,4.66,7.29,4.0
박상원,67703,49.0,147,62,8,20,4,52,4.67,9.55,3.67
정해영,50662,27.0,81,41,2,24,2,32,4.68,10.67,8.0
박희수,76858,20.0,60,28,4,10,0,26,4.7,11.7,4.5
문성현,60336,13.0,39,13,1,11,0,13,4.74,9.0,7.62
권휘,50203,11.0,33,16,1,6,2,10,4.75,8.18,4.91
이승호,67603,116.0,348,132,15,40,5,73,4.79,5.66,3.1
장시환,77318,130.0,390,139,15,74,8,115,4.82,7.96,5.12
전유수,75340,35.0,105,46,3,21,3,27,4.83,6.94,5.4
김민수,65048,97.0,291,151,14,30,4,63,4.83,5.85,2.78
홍정우,65496,28.0,84,37,5,12,1,29,4.84,9.32,3.86
윤명준,62242,33.0,99,51,4,13,1,20,4.84,5.45,3.55
송명기,69962,82.0,246,78,12,39,2,72,4.85,7.9,4.28
이민우,65616,101.0,303,129,11,47,6,67,4.86,5.97,4.19
배제성,65516,138.0,414,130,12,76,4,83,4.87,5.41,4.96
김윤식,50157,62.0,186,87,7,24,6,38,4.89,5.52,3.48
박종기,63292,24.0,72,30,3,14,0,20,4.91,7.5,5.25
노경은,73211,129.0,387,139,19,40,3,77,4.92,5.37,2.79
채드벨,69748,74.0,222,85,10,35,5,61,4.93,7.42,4.26
변시원,62263,4.0,12,8,0,3,0,1,4.95,2.25,6.75
오원석,50859,9.0,27,12,1,6,1,9,4.98,9.0,6.0
진명호,79545,26.0,78,29,3,22,2,32,5.01,11.08,7.62
김유영,64596,6.0,18,4,0,7,0,5,5.03,7.5,10.5
이건욱,64861,118.0,354,105,11,81,6,91,5.08,6.94,6.18
윤성환,74454,18.0,54,19,0,11,3,4,5.09,2.0,5.5
김대우,61365,73.0,219,95,9,26,6,37,5.1,4.56,3.21
주권,65060,54.0,162,54,6,32,1,37,5.11,6.17,5.33
김선기,66018,14.0,42,17,1,8,4,11,5.13,7.07,5.14
최원태,65320,107.0,321,115,16,37,7,67,5.13,5.64,3.11
서준원,69539,101.0,303,130,16,31,5,60,5.14,5.35,2.76
김성훈,69098,3.0,9,1,0,4,0,3,5.2,9.0,12.0
원태인,69446,137.0,411,162,19,56,5,78,5.2,5.12,3.68
김윤수,68403,45.0,135,66,6,31,1,41,5.24,8.2,6.2
김종수,63765,38.0,114,54,6,26,3,43,5.28,10.18,6.16
핀토,50835,157.0,471,198,19,90,11,112,5.28,6.42,5.16
윤정현,69399,25.0,75,54,3,10,2,11,5.32,3.96,3.6
유원상,76757,54.0,162,52,8,28,1,37,5.37,6.17,4.67
이영준,64051,29.0,87,41,5,19,2,32,5.41,9.93,5.9
백정현,77446,58.0,174,67,13,17,1,46,5.46,7.14,2.64
김건태,60339,26.0,78,29,4,25,2,37,5.47,12.81,8.65
강동연,61295,18.0,54,27,3,11,1,17,5.48,8.5,5.5
노성호,62920,28.0,84,28,3,29,2,34,5.49,10.93,9.32
조영우,64768,70.0,210,96,12,25,2,38,5.5,4.89,3.21
조덕길,63348,36.0,108,48,6,19,2,29,5.51,7.25,4.75
이정용,69134,26.0,78,32,6,14,2,33,5.51,11.42,4.85
임정호,63959,19.0,57,32,3,20,7,38,5.52,18.0,9.47
김성민,67828,18.0,54,28,3,12,3,21,5.53,10.5,6.0
권오준,99445,12.0,36,22,3,3,0,10,5.53,7.5,2.25
양창섭,68415,6.0,18,6,1,3,0,4,5.53,6.0,4.5
손정욱,63914,9.0,27,16,1,5,1,5,5.53,5.0,5.0
문경찬,65643,45.0,135,51,11,15,2,44,5.56,8.8,3.0
남재현,66660,14.0,42,20,1,11,1,8,5.56,5.14,7.07
이재학,60263,86.0,258,105,14,43,5,61,5.57,6.38,4.5
장필준,77927,31.0,93,46,6,16,0,26,5.59,7.55,4.65
김세현,76350,36.0,108,44,7,22,1,35,5.7,8.75,5.5
양기현,67365,19.0,57,24,3,10,1,12,5.73,5.68,4.74
김태훈,79847,57.0,171,61,8,39,4,43,5.78,6.79,6.16
김기훈,69620,48.0,144,58,8,31,2,39,5.8,7.31,5.81
허윤동,50449,44.0,132,43,4,31,2,18,5.81,3.68,6.34
임현준,61457,11.0,33,24,2,7,6,18,5.84,14.73,5.73
장원삼,76355,33.0,99,49,6,10,3,15,5.84,4.09,2.73
채지선,65241,22.0,66,34,3,24,5,34,5.84,13.91,9.82
윤규진,73750,3.0,9,7,1,1,0,4,5.87,12.0,3.0
조병욱,67045,27.0,81,39,4,13,1,11,5.87,3.67,4.33
하재훈,69813,11.0,33,19,2,8,0,10,5.93,8.18,6.55
문광은,60845,4.0,12,7,1,2,0,4,5.95,9.0,4.5
오현택,79293,22.0,66,37,5,8,2,17,5.97,6.95,3.27
서진용,61895,49.0,147,52,11,34,1,56,5.98,10.29,6.24
안영명,73738,38.0,114,51,9,18,2,34,6.07,8.05,4.26
김범수,65769,48.0,144,55,9,42,3,55,6.16,10.31,7.88
김이환,69745,60.0,180,75,9,44,4,41,6.18,6.15,6.6
박승주,66305,3.0,9,10,0,5,0,3,6.2,9.0,15.0
이용찬,77211,26.0,78,41,7,6,0,15,6.24,5.19,2.08
이대은,67008,25.0,75,36,4,13,5,15,6.24,5.4,4.68
김민,68043,38.0,114,46,6,29,5,32,6.25,7.58,6.87
이승현,60146,37.0,111,45,11,25,0,52,6.28,12.65,6.08
박정수,65639,27.0,81,25,4,24,6,29,6.31,9.67,8.0
김주한,66859,42.0,126,60,7,20,8,22,6.32,4.71,4.29
김기탁,67711,7.0,21,13,1,5,0,3,6.34,3.86,6.43
김명신,67246,12.0,36,20,3,4,3,11,6.37,8.25,3.0
신민혁,68902,39.0,117,57,10,13,3,26,6.43,6.0,3.0
박주홍,68703,23.0,69,30,5,16,0,19,6.46,7.43,6.26
이원준,67863,16.0,48,28,3,16,0,17,6.51,9.56,9.0
황영국,64760,16.0,48,29,3,14,2,17,6.51,9.56,7.88
류진욱,65949,3.0,9,4,1,1,0,3,6.53,9.0,3.0
서동민,64896,7.0,21,10,2,4,0,7,6.63,9.0,5.14
배재환,64995,34.0,102,38,4,35,9,33,6.67,8.74,9.26
강윤구,79358,12.0,36,31,3,11,0,15,6.7,11.25,8.25
이상화,77563,12.0,36,11,2,10,0,7,6.7,5.25,7.5
홍상삼,78247,32.0,96,32,5,54,3,61,6.76,17.16,15.19
김현수,69516,28.0,84,41,3,31,2,19,6.77,6.11,9.96
신정락,60140,7.0,21,15,2,7,2,14,6.77,18.0,9.0
이승민,50464,25.0,75,34,5,19,0,16,6.8,5.76,6.84
김대현,66145,26.0,78,37,6,23,1,28,6.82,9.69,7.96
김지용,60181,3.0,9,5,1,2,0,4,6.87,12.0,6.0
조영건,69360,41.0,123,47,8,27,4,23,6.88,5.05,5.93
오주원,74359,14.0,42,22,6,0,0,13,6.91,8.36,0.0
이상규,65117,22.0,66,45,4,21,1,18,6.93,7.36,8.59
김진욱,68701,40.0,120,50,9,25,5,29,6.93,6.53,5.62
임준섭,62611,5.0,15,18,1,6,0,6,7.0,10.8,10.8
서균,64759,5.0,15,7,0,6,1,1,7.0,1.8,10.8
소이현,67962,11.0,33,8,1,14,1,8,7.02,6.55,11.45
장현식,63950,33.0,99,64,8,22,3,26,7.05,7.09,6.0
김정빈,63894,36.0,108,37,5,45,8,42,7.09,10.5,11.25
김주온,65411,28.0,84,46,5,22,5,18,7.13,5.79,7.07
이호중,65937,4.0,12,7,1,2,1,3,7.2,6.75,4.5
최성영,66920,57.0,171,67,13,35,3,27,7.22,4.26,5.53
여건욱,79825,22.0,66,36,8,4,3,18,7.25,7.36,1.64
문동욱,64554,16.0,48,12,2,17,2,9,7.26,5.06,9.56
심창민,61411,14.0,42,18,3,18,2,21,7.27,13.5,11.57
홍성무,65042,14.0,42,21,3,13,1,12,7.27,7.71,8.36
강동호,67591,10.0,30,13,3,6,0,8,7.3,7.2,5.4
김재열,64580,14.0,42,23,3,12,3,13,7.34,8.36,7.71
조제영,50296,6.0,18,6,1,7,1,6,7.37,9.0,10.5
손동현,69041,17.0,51,21,5,10,0,12,7.38,6.35,5.29
황인준,65618,4.0,12,6,1,2,0,1,7.45,2.25,4.5
임규빈,65398,32.0,96,46,11,10,2,20,7.54,5.62,2.81
정인욱,79440,5.0,15,5,1,4,1,3,7.6,5.4,7.2
김현준,66630,10.0,30,20,2,13,1,12,7.6,10.8,11.7
장지훈,67443,26.0,78,39,7,21,3,24,7.62,8.31,7.27
김택형,65343,18.0,54,26,5,20,0,22,7.7,11.0,10.0
박시영,60559,21.0,63,32,5,23,1,21,7.72,9.0,9.86
배민서,69974,12.0,36,17,4,7,0,9,7.78,6.75,5.25
양승철,69646,23.0,69,41,4,24,3,13,7.85,5.09,9.39
이교훈,69205,4.0,12,6,1,4,0,3,7.95,6.75,9.0
정영일,62056,18.0,54,31,6,11,3,17,7.98,8.5,5.5
이형범,62951,19.0,57,30,5,16,2,13,8.09,6.16,7.58
백승건,69839,27.0,81,37,7,31,2,28,8.16,9.33,10.33
이현호,61214,11.0,33,18,4,10,1,15,8.2,12.27,8.18
장원준,74513,5.0,15,9,1,6,0,2,8.6,3.6,10.8
최영환,64718,9.0,27,19,4,3,1,7,8.76,7.0,3.0
