Player,pcode,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9
김대우,61365,4.0,12,4,0,0,0,5,0.7,11.25,0.0
강윤구,79358,14.0,42,25,0,6,1,27,0.84,17.36,3.86
박상원,67703,10.0,30,11,0,6,0,16,1.8,14.4,5.4
김민수,65048,60.0,180,64,3,13,6,88,1.87,13.2,1.95
임정호,63959,17.0,51,21,1,7,2,30,2.02,15.88,3.71
안우진,68341,188.0,564,129,4,52,4,214,2.09,10.24,2.49
전상현,66609,39.0,117,42,2,16,0,53,2.38,12.23,3.69
진해수,76650,27.0,81,39,1,11,1,35,2.42,11.67,3.67
안영명,73738,3.0,9,3,0,0,0,1,2.53,3.0,0.0
이용찬,77211,55.0,165,56,3,13,3,61,2.56,9.98,2.13
고영표,64001,180.0,540,191,7,23,16,156,2.62,7.8,1.15
김재윤,65062,58.0,174,43,5,20,0,77,2.7,11.95,3.1
김원중,62528,38.0,114,36,4,15,0,58,2.7,13.74,3.55
정우람,74857,14.0,42,22,1,6,0,19,2.7,12.21,3.86
요키시,69343,182.0,546,169,8,33,5,154,2.71,7.62,1.63
박세웅,64021,154.0,462,179,8,32,8,146,2.76,8.53,1.87
루친스키,69940,191.0,573,184,14,34,8,194,2.78,9.14,1.6
나균안,67539,102.0,306,123,5,36,3,112,2.79,9.88,3.18
수아레즈,52457,172.0,516,151,7,50,4,159,2.82,8.32,2.62
모리만도,52808,74.0,222,57,2,23,4,67,2.84,8.15,2.8
켈리,69103,151.0,453,136,9,32,2,135,2.86,8.05,1.91
킹험,50815,15.0,45,15,1,5,1,18,2.87,10.8,3.0
채지선,65241,3.0,9,1,0,0,1,2,2.87,6.0,0.0
고우석,67119,53.0,159,37,6,21,1,79,2.94,13.42,3.57
놀린,52637,122.0,366,115,7,24,8,108,2.96,7.97,1.77
구창모,65933,109.0,327,92,7,29,4,108,2.96,8.92,2.39
이채호,68896,30.0,90,28,0,13,6,32,2.97,9.6,3.9
한승주,50726,15.0,45,25,0,4,3,12,3.0,7.2,2.4
김광현,77829,172.0,516,141,10,45,5,153,3.05,8.01,2.35
반즈,52528,182.0,546,176,8,47,18,160,3.08,7.91,2.32
김윤식,50157,111.0,333,125,5,27,1,81,3.08,6.57,2.19
플럿코,52145,159.0,477,125,13,38,2,149,3.14,8.43,2.15
구승민,63543,49.0,147,46,3,35,1,75,3.14,13.78,6.43
파노니,52606,81.0,243,78,5,24,2,73,3.16,8.11,2.67
소형준,50030,169.0,507,158,8,39,5,117,3.21,6.23,2.08
주권,65060,37.0,111,58,3,8,0,31,3.23,7.54,1.95
폰트,51863,184.0,552,141,18,34,6,170,3.28,8.32,1.66
김도규,68585,38.0,114,48,2,19,4,45,3.33,10.66,4.5
김동혁,50360,23.0,69,28,0,10,1,15,3.33,5.87,3.91
정해영,50662,50.0,150,54,3,18,0,43,3.34,7.74,3.24
하준영,68639,27.0,81,28,3,14,3,43,3.35,14.33,4.67
홍건희,61643,53.0,159,57,5,20,1,60,3.35,10.19,3.4
페냐,52720,64.0,192,63,4,30,4,72,3.36,10.12,4.22
김현준,66630,14.0,42,19,0,5,2,9,3.41,5.79,3.21
카펜터,51722,18.0,54,19,1,6,1,15,3.42,7.5,3.0
이우찬,61145,37.0,111,29,2,21,1,42,3.42,10.22,5.11
뷰캐넌,50404,156.0,468,176,10,39,8,117,3.44,6.75,2.25
