Player,pcode,PA,HR,wOBA,ISO,BB%,K%,AB,1B,2B,3B,BB,HBP,SO,wRC+,wRAA,WAR
김재현,62332,128,0,0.211,0.042,0.8,23.4,120,20,5,0,1,3,30,20.2,-12.26,-1.22
손호영,50150,369,4,0.281,0.075,6.0,17.6,322,65,12,0,22,10,65,71.3,-12.7,-1.24
권동진,51003,307,1,0.273,0.078,9.8,29.6,269,45,12,3,30,1,91,64.8,-12.96,-1.27
장준원,64115,154,1,0.219,0.043,5.2,17.5,140,25,3,0,8,0,27,25.8,-13.71,-1.36
이원석,68700,256,4,0.258,0.087,9.4,20.7,219,33,7,0,24,4,53,54.4,-14.0,-1.38
심우준,64006,275,2,0.259,0.069,6.2,17.8,247,45,9,1,17,3,49,54.9,-14.88,-1.46
김민석,53554,247,1,0.251,0.07,4.9,25.1,228,41,7,3,12,2,62,49.4,-15.0,-1.48
정준재,54812,441,0,0.28,0.043,11.6,21.1,370,77,10,3,51,3,93,70.2,-15.79,-1.54
김건희,53312,341,3,0.267,0.103,3.8,29.6,319,53,20,2,13,0,101,60.9,-16.01,-1.57
배정대,64166,276,2,0.253,0.088,6.9,23.6,240,34,11,2,19,7,65,50.6,-16.35,-1.61
최원준,66606,446,6,0.277,0.09,5.2,15.5,410,78,13,3,23,6,69,68.1,-17.06,-1.67
안치홍,79608,196,2,0.216,0.057,8.2,19.9,174,24,4,0,16,1,39,24.1,-17.85,-1.77
