Player,pcode,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9
송신영,99314,5.0,15,6,0,0,2,6,2.0,10.8,0.0
손주영,67143,4.0,12,6,0,1,1,5,2.2,11.25,2.25
김정인,65392,12.0,36,19,0,4,1,13,2.28,9.75,3.0
전용훈,64267,9.0,27,11,0,2,0,6,2.53,6.0,2.0
정우람,74857,44.0,132,47,5,19,4,78,2.7,15.95,3.89
허프,66138,123.0,369,100,7,14,2,98,2.74,7.17,1.02
김재윤,65062,30.0,90,41,1,11,1,31,2.77,9.3,3.3
소사,62698,178.0,534,189,11,38,3,153,2.98,7.74,1.92
김경태,60757,6.0,18,12,0,9,2,17,3.03,25.5,13.5
원종현,76118,64.0,192,86,4,19,7,69,3.08,9.7,2.67
조상우,63342,43.0,129,53,3,15,1,45,3.13,9.42,3.14
이상화,77563,55.0,165,68,4,16,4,57,3.16,9.33,2.62
켈리,65856,188.0,564,204,16,45,11,189,3.19,9.05,2.15
임정우,61891,13.0,39,14,1,6,1,17,3.2,11.77,4.15
손승락,75321,49.0,147,59,7,11,1,62,3.26,11.39,2.02
장필준,77927,53.0,159,82,6,26,4,82,3.28,13.92,4.42
조정훈,75537,19.0,57,17,1,13,0,25,3.31,11.84,6.16
임창용,95657,37.0,111,51,3,22,5,58,3.31,14.11,5.35
고영표,64001,136.0,408,170,13,16,18,125,3.35,8.27,1.06
밴헤켄,62322,135.0,405,140,13,42,2,139,3.37,9.27,2.8
진명호,79545,5.0,15,1,0,5,0,7,3.4,12.6,9.0
김세현,76350,44.0,132,65,4,15,2,47,3.4,9.61,3.07
김명신,67246,35.0,105,54,2,12,7,38,3.4,9.77,3.09
양현종,77637,189.0,567,209,17,45,0,158,3.41,7.52,2.14
함덕주,63248,129.0,387,128,8,64,4,139,3.43,9.7,4.47
서진용,61895,40.0,120,43,4,23,0,55,3.48,12.38,5.17
이동현,71118,37.0,111,52,4,10,3,39,3.55,9.49,2.43
맨쉽,67948,111.0,333,112,7,33,7,86,3.55,6.97,2.68
임기영,62754,114.0,342,138,9,18,6,73,3.58,5.76,1.42
백인식,78819,17.0,51,15,0,5,4,10,3.61,5.29,2.65
차우찬,76455,172.0,516,171,20,38,7,157,3.67,8.22,1.99
김강률,77263,72.0,216,89,6,32,3,73,3.71,9.12,4.0
린드블럼,65543,72.0,216,66,10,18,2,76,3.73,9.5,2.25
강승현,78552,31.0,93,42,4,15,0,40,3.75,11.61,4.35
김홍빈,66309,7.0,21,15,0,1,3,4,3.77,5.14,1.29
장원준,74513,178.0,534,172,12,51,14,125,3.77,6.32,2.58
윤길현,72862,26.0,78,46,3,16,5,43,3.82,14.88,5.54
헥터,66643,199.0,597,221,21,45,5,149,3.83,6.74,2.04
레일리,65546,183.0,549,199,19,44,17,156,3.84,7.67,2.16
김명찬,65696,3.0,9,5,0,2,0,2,3.87,6.0,6.0
피어밴드,65331,159.0,477,153,20,31,7,132,3.89,7.47,1.75
이용찬,77211,60.0,180,83,5,27,4,57,3.93,8.55,4.05
오간도,67748,107.0,321,115,8,30,11,74,3.94,6.22,2.52
해커,63938,157.0,471,159,14,29,14,97,3.95,5.56,1.66
고효준,72523,32.0,96,44,1,22,5,35,3.95,9.84,6.19
박경태,76653,4.0,12,7,0,3,0,3,3.95,6.75,6.75
박세진,66047,10.0,30,16,0,6,2,8,4.0,7.2,5.4
정찬헌,78148,45.0,135,75,5,25,4,57,4.04,11.4,5.0
박진형,63512,76.0,228,88,8,47,4,95,4.08,11.25,5.57
백정현,77446,92.0,276,110,11,36,6,94,4.08,9.2,3.52
김진성,75867,68.0,204,72,13,27,2,98,4.08,12.97,3.57
최원태,65320,147.0,441,161,19,34,12,126,4.1,7.71,2.08
