Player,pcode,Team,Position,PA,HR,wOBA,ISO,BB%,K%,AB,1B,2B,3B,BB,HBP,SO,wRC+,wRAA,WAR
박시원,50996,NC,지명타자,77,1,0.281,0.106,10.4,26.0,66,10,4,0,8,0,20,64.1,-3.32,-0.33
박재현,55636,KIA,지명타자,335,8,0.318,0.133,6.0,18.8,308,64,11,3,20,0,63,91.0,-3.63,-0.34
김웅빈,65898,키움,지명타자,156,3,0.304,0.115,9.0,23.1,139,24,5,1,14,3,36,81.2,-3.51,-0.34
함수호,55440,삼성,지명타자,24,0,0.16,0.0,12.5,29.2,21,2,0,0,3,0,7,0.0,-3.54,-0.35
김민식,62864,SSG,지명타자,32,0,0.2,0.032,3.1,15.6,31,5,1,0,1,0,5,6.0,-3.61,-0.36
김기연,66112,두산,지명타자,45,0,0.238,0.024,2.2,11.1,41,9,1,0,1,1,5,33.0,-3.62,-0.36
정현창,55926,KIA,지명타자,60,1,0.26,0.111,5.0,38.3,54,8,1,1,3,2,23,49.5,-3.64,-0.36
손호영,50150,롯데,지명타자,176,4,0.304,0.139,7.4,17.6,158,24,10,0,13,3,31,81.5,-3.91,-0.38
노진혁,62931,롯데,지명타자,182,5,0.305,0.159,10.4,18.1,157,20,10,0,19,2,33,82.0,-3.93,-0.38
박성빈,53305,키움,지명타자,24,0,0.141,0.0,0.0,33.3,23,3,0,0,0,1,8,0.0,-3.94,-0.39
김태군,78122,KIA,지명타자,121,2,0.292,0.102,5.8,14.9,108,20,5,0,7,3,18,72.5,-4.0,-0.39
오태곤,60558,SSG,지명타자,224,10,0.308,0.181,7.1,28.1,204,30,7,0,16,2,63,84.3,-4.23,-0.4
최정원,69992,NC,지명타자,151,0,0.299,0.039,6.6,17.2,129,32,3,1,10,6,26,77.4,-4.09,-0.4
박계범,64468,삼성,지명타자,38,1,0.209,0.083,5.3,36.8,36,5,0,0,2,0,14,12.1,-4.01,-0.4
박주홍,50357,키움,지명타자,172,2,0.302,0.096,12.8,27.9,146,23,6,1,22,4,48,79.8,-4.17,-0.4
전민재,68205,롯데,지명타자,309,8,0.314,0.128,5.8,21.0,281,55,12,0,18,5,65,88.3,-4.33,-0.41
이진영,66657,한화,지명타자,98,2,0.281,0.094,10.2,31.6,85,14,2,0,10,2,31,64.5,-4.18,-0.41
박수종,52305,키움,지명타자,59,0,0.247,0.04,8.5,16.9,50,8,2,0,5,2,10,39.5,-4.28,-0.42
최재영,56338,키움,지명타자,28,0,0.158,0.04,7.1,39.3,25,2,1,0,2,0,11,0.0,-4.18,-0.42
김지석,56326,키움,지명타자,56,1,0.241,0.082,1.8,14.3,49,9,1,0,1,2,8,35.7,-4.32,-0.43
한석현,64101,NC,지명타자,137,2,0.293,0.074,5.1,17.5,122,29,3,0,7,2,24,72.9,-4.46,-0.43
천성호,50054,LG,지명타자,231,1,0.308,0.094,6.1,14.7,212,41,15,1,14,3,34,83.8,-4.49,-0.43
장승현,63202,삼성,지명타자,27,0,0.144,0.0,7.4,33.3,22,2,0,0,2,1,9,0.0,-4.38,-0.44
박찬혁,52348,키움,지명타자,153,3,0.296,0.104,7.8,26.8,134,25,5,0,12,3,41,75.6,-4.48,-0.44
김영웅,52430,삼성,지명타자,75,3,0.26,0.164,2.7,37.3,73,9,3,0,2,0,28,49.2,-4.57,-0.45
하주석,62700,한화,지명타자,97,0,0.274,0.023,7.2,22.7,86,20,2,0,7,2,22,59.6,-4.7,-0.46
심우준,64006,한화,지명타자,275,3,0.31,0.079,9.8,17.1,239,51,10,0,27,3,47,85.3,-4.85,-0.46
도태훈,66965,NC,지명타자,83,0,0.264,0.045,13.3,21.7,66,7,3,0,11,6,18,52.5,-4.73,-0.47
이원석,68700,한화,지명타자,169,1,0.297,0.078,6.5,16.6,153,34,5,2,11,1,28,76.3,-4.8,-0.47
박승욱,62802,롯데,지명타자,129,1,0.287,0.084,5.4,27.9,119,24,5,1,7,1,36,68.6,-4.87,-0.48
장준원,64115,KT,지명타자,63,2,0.24,0.132,7.9,23.8,53,7,1,0,5,0,15,35.1,-4.91,-0.49
박세혁,62244,삼성,지명타자,54,0,0.223,0.02,7.4,24.1,50,9,1,0,4,0,13,22.4,-5.03,-0.5
윤도현,52667,KIA,지명타자,59,2,0.23,0.107,3.4,37.3,56,9,0,0,2,0,22,27.7,-5.12,-0.51
황성빈,50500,롯데,지명타자,270,0,0.307,0.074,7.0,16.3,244,58,6,6,19,1,44,83.0,-5.5,-0.53
오지환,79109,LG,지명타자,287,6,0.307,0.114,10.1,20.2,245,45,10,0,29,4,58,83.6,-5.64,-0.54
