Player,pcode,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9
석상호,53560,5.0,15,4,0,2,0,6,2.0,10.8,3.6
강건,53006,6.0,18,4,0,3,0,8,2.03,12.0,4.5
조영건,69360,7.0,21,5,0,2,0,7,2.06,9.0,2.57
페디,53913,178.0,534,137,9,35,4,209,2.17,10.57,1.77
안우진,68341,149.0,447,121,5,38,1,164,2.22,9.91,2.3
김재윤,65062,59.0,177,54,2,13,1,60,2.32,9.15,1.98
김진호,67954,13.0,39,15,0,10,1,22,2.35,15.23,6.92
김원중,62528,57.0,171,51,2,25,5,82,2.36,12.95,3.95
윌커슨,53546,79.0,237,67,3,20,2,81,2.48,9.23,2.28
함덕주,63248,46.0,138,32,1,22,2,59,2.48,11.54,4.3
박영현,52060,64.0,192,63,3,23,2,79,2.51,11.11,3.23
쿠에바스,69032,112.0,336,95,4,24,2,100,2.58,8.04,1.93
뷰캐넌,50404,186.0,558,174,4,43,6,139,2.78,6.73,2.08
고우석,67119,37.0,111,38,2,22,4,59,2.82,14.35,5.35
수아레즈,52457,105.0,315,129,3,32,2,88,2.87,7.54,2.74
고영표,64001,172.0,516,181,7,19,9,114,2.89,5.97,0.99
후라도,53375,181.0,543,164,7,41,9,147,2.91,7.31,2.04
플럿코,52145,122.0,366,115,5,31,3,101,2.91,7.45,2.29
구창모,65933,48.0,144,38,4,16,0,56,2.95,10.5,3.0
김규연,51713,16.0,48,16,0,10,2,20,2.95,11.25,5.62
류진욱,65949,51.0,153,41,1,32,1,62,2.96,10.94,5.65
김건국,76225,13.0,39,18,0,4,1,9,2.97,6.23,2.77
브랜든,52257,104.0,312,80,4,30,12,100,2.99,8.65,2.6
주현상,65707,50.0,150,35,2,15,3,45,3.0,8.1,2.7
요키시,69343,65.0,195,82,3,14,3,51,3.02,7.06,1.94
전상현,66609,39.0,117,50,1,26,1,50,3.05,11.54,6.0
벤자민,52043,157.0,471,149,12,45,3,157,3.11,9.0,2.58
엄상백,65056,110.0,330,100,6,29,2,89,3.14,7.28,2.37
반즈,52528,165.0,495,171,6,56,15,147,3.18,8.02,3.05
송윤준,61156,4.0,12,4,0,2,0,3,3.2,6.75,4.5
홍건희,61643,54.0,162,67,4,24,0,62,3.2,10.33,4.0
알칸타라,69045,189.0,567,171,16,35,5,162,3.22,7.71,1.67
켈리,69103,176.0,528,183,10,39,6,129,3.24,6.6,1.99
김영규,68900,47.0,141,45,2,23,1,48,3.24,9.19,4.4
이상민,63960,14.0,42,32,2,3,0,17,3.27,10.93,1.93
최준용,50556,37.0,111,50,2,18,1,40,3.28,9.73,4.38
이종민,50354,11.0,33,22,0,6,1,10,3.29,8.18,4.91
임정호,63959,35.0,105,51,3,17,4,49,3.31,12.6,4.37
김재웅,67391,53.0,159,56,2,24,0,46,3.31,7.81,4.08
김명신,67246,61.0,183,72,3,27,6,65,3.33,9.59,3.98
나균안,67539,129.0,387,140,8,42,5,114,3.33,7.95,2.93
박민호,64893,7.0,21,14,0,1,2,4,3.34,5.14,1.29
김도규,68585,21.0,63,29,1,13,1,26,3.34,11.14,5.57
박상원,67703,54.0,162,63,2,29,3,57,3.35,9.5,4.83
배민서,69974,6.0,18,10,0,2,1,4,3.37,6.0,3.0
이태양,60768,94.0,282,100,7,21,3,72,3.4,6.89,2.01
문동주,52701,116.0,348,113,6,42,4,95,3.42,7.37,3.26
박세웅,64021,149.0,447,145,8,59,4,129,3.43,7.79,3.56
우규민,73117,27.0,81,55,3,5,3,28,3.46,9.33,1.67
파노니,52606,78.0,234,86,6,23,2,66,3.47,7.62,2.65
와이드너,53927,111.0,333,112,7,40,6,99,3.48,8.03,3.24
맥카티,53833,126.0,378,124,10,45,1,116,3.49,8.29,3.21
양현종,77637,168.0,504,181,13,48,1,133,3.5,7.12,2.57
남지민,50720,36.0,108,54,0,13,6,23,3.51,5.75,3.25
김창훈,51586,3.0,9,5,0,1,0,1,3.53,3.0,3.0
윤호솔,63961,3.0,9,3,0,3,0,4,3.53,12.0,9.0
이정용,69134,83.0,249,100,5,19,2,50,3.54,5.42,2.06
김상수,76430,38.0,114,45,1,21,3,36,3.54,8.53,4.97
이의리,51648,127.0,381,103,4,93,8,156,3.54,11.06,6.59
이상동,69054,31.0,93,45,4,15,0,43,3.55,12.48,4.35
김선기,66018,43.0,129,56,2,15,1,29,3.57,6.07,3.14
정찬헌,78148,70.0,210,71,4,13,2,35,3.59,4.5,1.67
임창민,78352,40.0,120,51,3,17,2,40,3.6,9.0,3.83
태너,53909,64.0,192,58,6,13,1,47,3.61,6.61,1.83
이우찬,61145,30.0,90,35,1,18,2,30,3.63,9.0,5.4
