Player,pcode,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9
배우열,79191,5.0,15,7,0,3,0,9,1.4,16.2,5.4
이상화,77563,8.0,24,6,0,5,1,14,1.95,15.75,5.62
손승락,75321,49.0,147,53,1,20,1,60,2.3,11.02,3.67
박경태,76653,5.0,15,7,0,2,1,6,2.6,10.8,3.6
최충연,66451,73.0,219,73,6,26,2,101,2.65,12.45,3.21
조상우,63342,17.0,51,16,1,6,2,23,2.67,12.18,3.18
윤영삼,61456,25.0,75,31,2,8,1,32,2.76,11.52,2.88
배민관,60105,10.0,30,9,0,4,2,11,2.8,9.9,3.6
이명우,72535,26.0,78,59,1,9,0,25,2.82,8.65,3.12
소사,62698,181.0,543,192,16,28,4,181,2.88,9.0,1.39
배제성,65516,4.0,12,3,0,1,0,2,2.95,4.5,2.25
이상민,63960,4.0,12,3,0,1,0,2,2.95,4.5,2.25
심동섭,60636,4.0,12,7,0,3,0,5,2.95,11.25,6.75
박상원,67703,41.0,123,59,3,21,4,62,2.96,13.61,4.61
김건국,76225,9.0,27,11,1,0,1,9,2.98,9.0,0.0
윌슨,68135,168.0,504,158,11,35,6,149,3.01,7.98,1.88
김강률,77263,59.0,177,72,7,24,3,81,3.37,12.36,3.66
정우람,74857,46.0,138,49,6,12,2,56,3.37,10.96,2.35
린드블럼,65543,167.0,501,142,16,38,8,157,3.39,8.46,2.05
전인환,79339,5.0,15,7,0,3,0,4,3.4,7.2,5.4
박희수,76858,30.0,90,35,1,15,3,30,3.43,9.0,4.5
송은범,73801,62.0,186,77,2,33,5,61,3.49,8.85,4.79
로저스,65742,81.0,243,89,7,16,5,65,3.5,7.22,1.78
최원태,65320,132.0,396,144,8,35,11,101,3.5,6.89,2.39
김광현,77829,133.0,399,125,16,30,2,130,3.53,8.8,2.03
박치국,67266,46.0,138,80,5,15,9,60,3.57,11.74,2.93
장필준,77927,62.0,186,65,6,25,6,74,3.57,10.74,3.63
김태훈,79847,82.0,246,88,8,36,2,93,3.59,10.21,3.95
함덕주,63248,55.0,165,58,4,37,4,75,3.65,12.27,6.05
김성훈,67762,25.0,75,25,2,11,3,28,3.68,10.08,3.96
고영표,64001,139.0,417,175,17,25,14,134,3.7,8.68,1.62
이보근,75342,48.0,144,66,6,14,4,54,3.7,10.12,2.62
브리검,67313,196.0,588,188,19,50,19,175,3.73,8.04,2.3
샘슨,68748,157.0,471,144,17,79,5,195,3.73,11.18,4.53
양현종,77637,182.0,546,199,21,43,2,152,3.77,7.52,2.13
배재준,63145,35.0,105,34,3,20,1,41,3.77,10.54,5.14
신정락,60140,37.0,111,59,5,17,6,56,3.79,13.62,4.14
켈리,65856,154.0,462,152,18,47,13,161,3.8,9.41,2.75
우규민,73117,53.0,159,70,6,12,5,48,3.82,8.15,2.04
이태양,60768,63.0,189,66,10,23,4,85,3.85,12.14,3.29
김진영,67737,10.0,30,13,1,4,0,9,3.9,8.1,3.6
임준혁,73632,7.0,21,12,0,3,0,2,3.91,2.57,3.86
이재학,60263,147.0,441,157,13,49,10,116,3.98,7.1,3.0
정인욱,79440,27.0,81,31,3,9,3,27,3.98,9.0,3.0
이용찬,77211,141.0,423,151,14,36,8,102,3.98,6.51,2.3
후랭코프,68240,147.0,441,118,12,55,22,134,4.01,8.2,3.37
