Player,pcode,PA,HR,wOBA,ISO,BB%,K%,AB,1B,2B,3B,BB,HBP,SO
유재신,76368,40,1,0.509,0.242,17.5,25.0,33,9,3,1,7,0,10
박병호,75125,488,43,0.495,0.373,13.9,23.4,400,75,20,0,68,17,114
샌즈,68345,93,12,0.471,0.453,6.5,29.0,86,13,1,1,6,0,27
김재환,78224,603,44,0.451,0.323,10.0,22.2,527,95,36,1,60,9,134
전병우,65586,77,3,0.449,0.242,11.7,31.2,66,14,7,0,9,1,24
러프,67450,597,33,0.438,0.275,10.9,17.9,506,98,32,4,65,18,107
양의지,76232,504,23,0.436,0.227,8.9,7.9,440,104,29,1,45,13,40
김현수,76290,511,20,0.43,0.227,9.2,11.9,453,103,39,2,47,1,61
전준우,78513,617,33,0.429,0.25,7.8,13.3,559,120,37,2,48,7,82
로맥,67872,617,43,0.429,0.28,11.7,19.9,529,105,19,0,72,10,123
이대호,71564,606,37,0.427,0.259,7.3,12.4,544,115,30,0,44,14,75
로하스,67025,646,43,0.421,0.285,11.1,22.0,564,98,30,1,72,7,142
최형우,72443,611,25,0.417,0.209,10.8,14.2,530,120,34,1,66,7,87
최주환,76267,593,26,0.417,0.247,8.6,15.2,522,102,39,6,51,10,90
손아섭,77532,628,26,0.413,0.216,11.0,15.8,555,120,32,5,69,2,99
한동민,62895,564,41,0.412,0.316,9.4,22.2,487,66,31,0,53,16,125
안치홍,79608,551,23,0.409,0.22,6.5,10.3,496,107,38,1,36,10,57
유한준,74339,481,20,0.409,0.193,9.8,11.0,429,104,21,1,47,2,53
나지완,78629,379,26,0.408,0.303,10.0,21.4,317,42,18,0,38,19,81
이병규,76100,259,10,0.407,0.215,19.3,22.4,200,33,11,1,50,7,58
호잉,68730,590,30,0.404,0.267,8.6,15.8,529,83,47,2,51,5,93
구자욱,62404,529,20,0.402,0.201,8.1,20.8,478,108,26,5,43,5,110
채은성,79192,578,25,0.401,0.217,6.1,16.8,529,112,36,2,35,9,97
이재원,76812,471,17,0.398,0.184,9.1,13.8,407,93,24,0,43,12,65
정수빈,79231,112,2,0.395,0.102,9.8,11.6,98,31,2,1,11,1,13
최정,75847,491,35,0.395,0.301,11.8,26.5,408,47,16,1,58,23,130
국해성,79290,28,0,0.395,0.125,10.7,17.9,24,5,3,0,3,1,5
오재일,75334,478,27,0.393,0.259,12.6,25.3,402,65,19,2,60,6,121
