Player,pcode,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9
우규민,73117,43.1,130,47,1,2,2,39,1.98,8.1,0.42
브랜든,52257,75.1,226,75,3,11,4,75,2.32,8.96,1.31
크로우,54612,40.0,120,41,2,12,1,43,2.68,9.68,2.7
하트,54930,157.0,471,124,11,38,11,182,2.73,10.43,2.18
유영찬,50106,63.0,189,61,2,30,3,77,2.74,11.0,4.29
정현수,54537,23.2,71,20,0,12,2,25,2.86,9.51,4.56
김승일,50711,3.0,9,4,0,0,1,2,2.87,6.0,0.0
김택연,54263,63.1,190,51,2,32,4,77,2.88,10.94,4.55
박진형,63512,6.1,19,6,0,1,1,4,2.88,5.68,1.42
김영규,68900,45.1,136,40,3,14,1,48,2.94,9.53,2.78
박상원,67703,67.0,201,57,2,22,7,65,2.95,8.73,2.96
송은범,73801,8.1,25,8,0,1,0,2,3.08,2.16,1.08
권휘,50203,9.0,27,15,0,7,0,11,3.09,11.0,7.0
윌커슨,53546,196.1,589,211,18,27,2,167,3.13,7.66,1.24
고영표,64001,99.2,299,141,6,14,11,79,3.15,7.13,1.26
류현진,76715,157.2,473,182,12,33,3,135,3.16,7.71,1.88
네일,54640,149.1,448,154,11,35,9,138,3.19,8.32,2.11
김민,68043,77.1,232,84,5,28,2,77,3.21,8.96,3.26
와이스,54755,91.2,275,77,8,29,3,98,3.24,9.62,2.85
앤더슨,54833,114.2,344,98,11,52,8,158,3.26,12.4,4.08
김재열,64580,68.1,205,58,4,29,0,67,3.27,8.82,3.82
한두솔,68092,59.1,178,62,3,31,3,68,3.28,10.31,4.7
김유영,64596,48.0,144,50,2,17,4,42,3.3,7.88,3.19
알드레드,54664,43.0,129,38,4,17,2,52,3.32,10.88,3.56
산체스,53714,53.0,159,60,2,21,10,56,3.33,9.51,3.57
조병현,51897,72.2,218,52,8,31,2,96,3.35,11.89,3.84
후라도,53375,189.2,569,185,19,32,9,169,3.37,8.02,1.52
김원중,62528,63.1,190,59,4,31,1,68,3.39,9.66,4.41
바리아,54720,92.2,278,114,10,18,0,83,3.39,8.06,1.75
에르난데스,54119,47.0,141,41,5,16,2,55,3.39,10.53,3.06
임찬규,61101,133.1,400,144,12,42,5,136,3.39,9.18,2.83
주현상,65707,71.1,214,52,9,8,1,64,3.42,8.07,1.01
원종현,76118,3.2,11,4,0,3,0,4,3.47,9.82,7.36
라우어,54666,35.0,105,35,3,12,3,37,3.49,9.51,3.09
손주환,54904,3.1,10,2,0,2,1,4,3.5,10.8,5.4
반즈,52528,150.1,451,140,18,46,5,171,3.5,10.24,2.75
최지광,67421,36.1,109,22,1,21,4,38,3.53,9.41,5.2
조상우,63342,39.2,119,40,2,20,0,36,3.55,8.17,4.54
발라조빅,54243,59.0,177,59,5,30,2,70,3.56,10.68,4.58
엔스,54134,167.1,502,169,16,50,6,157,3.57,8.44,2.69
김강률,77263,42.1,127,41,1,21,2,33,3.58,7.02,4.46
한승혁,61666,62.1,187,63,2,38,6,64,3.68,9.24,5.49
곽빈,68220,167.2,503,142,11,76,6,154,3.68,8.27,4.08
전상현,66609,66.0,198,55,5,20,5,54,3.68,7.36,2.73
