Player,pcode,PA,HR,wOBA,ISO,BB%,K%,AB,1B,2B,3B,BB,HBP,SO
제러드,54295,169,10,0.458,0.333,12.4,20.7,144,20,16,1,21,3,35
김도영,52605,627,38,0.452,0.297,10.5,17.5,546,113,30,9,66,7,110
구자욱,62404,571,33,0.446,0.284,9.6,12.8,496,97,40,1,55,12,73
카데나스,54444,25,2,0.44,0.333,4.0,24.0,24,4,2,0,1,0,6
윤도현,52667,27,1,0.436,0.185,0.0,33.3,27,8,2,0,0,0,9
로하스,67025,673,33,0.429,0.243,13.1,17.1,575,116,39,1,88,6,115
데이비슨,54944,568,46,0.427,0.327,7.0,25.0,504,82,25,1,40,17,142
최정,75847,552,37,0.419,0.304,10.0,20.8,470,70,28,2,55,20,115
박건우,79215,363,13,0.412,0.198,9.1,14.9,324,74,23,1,33,4,54
오스틴,53123,606,33,0.412,0.259,10.1,13.5,529,102,32,3,61,3,82
안중열,64022,25,2,0.408,0.333,12.0,28.0,21,3,1,0,3,0,7
에레디아,53827,593,21,0.405,0.177,4.7,12.5,543,142,31,1,28,13,74
송성문,65357,603,19,0.402,0.178,10.6,13.6,528,127,29,4,64,3,82
강현우,50066,36,1,0.395,0.154,22.2,27.8,26,6,1,0,8,0,10
도슨,53327,430,11,0.395,0.178,9.1,12.3,383,82,31,2,39,6,53
레이예스,54529,636,15,0.392,0.159,7.2,12.9,577,144,41,3,46,1,82
전다민,54214,35,0,0.389,0.071,20.0,22.9,28,7,2,0,7,0,8
홍창기,66108,639,5,0.387,0.074,15.2,14.6,525,150,18,3,97,12,93
여동건,54205,11,0,0.386,0.0,9.1,18.2,10,4,0,0,1,0,2
나승엽,51551,491,7,0.386,0.157,14.5,16.9,407,81,35,4,71,4,83
김재환,78224,553,29,0.386,0.243,11.6,30.4,474,77,28,0,64,6,168
권광민,52769,51,4,0.385,0.313,5.9,33.3,48,6,3,0,3,0,17
권희동,63963,512,13,0.384,0.151,15.0,12.3,417,89,22,1,77,10,63
손호영,50150,434,18,0.382,0.219,3.9,15.2,401,78,26,4,17,10,66
소크라테스,52630,604,26,0.38,0.208,6.8,15.1,554,112,31,3,41,4,91
문보경,69102,604,23,0.38,0.211,10.8,18.5,521,96,35,3,65,2,112
강민호,74540,455,19,0.377,0.195,7.7,11.4,406,84,20,1,35,8,52
박민우,62907,529,8,0.376,0.118,10.2,14.9,458,115,26,2,54,9,79
양의지,76232,485,17,0.376,0.165,8.2,11.5,430,99,18,1,40,9,56
나성범,62947,426,21,0.375,0.218,8.9,23.0,376,71,17,1,38,4,98
최형우,72443,487,22,0.374,0.219,10.7,17.7,425,72,23,2,52,5,86
페라자,54730,521,24,0.373,0.211,12.1,24.6,454,77,24,0,63,2,128
전준우,78513,487,18,0.373,0.197,10.1,17.2,427,79,26,2,49,5,84
오윤석,64504,202,6,0.372,0.2,8.9,20.3,175,31,13,2,18,4,41
김혜성,67304,567,11,0.369,0.132,8.3,10.9,509,125,26,4,47,4,62
디아즈,54400,118,7,0.369,0.236,5.1,21.2,110,19,5,0,6,2,25
강백호,68050,617,26,0.368,0.19,9.7,20.6,552,106,27,0,60,3,127
변우혁,69727,188,5,0.366,0.166,8.5,25.5,169,35,9,2,16,2,48
