Player,pcode,PA,HR,wOBA,ISO,BB%,K%,AB,1B,2B,3B,BB,HBP,SO
오스틴,53123,391,28,0.462,0.322,11.0,15.3,339,66,19,3,43,6,60
문정빈,52121,94,7,0.445,0.361,10.6,28.7,83,12,5,2,10,0,27
김도영,52605,380,27,0.431,0.311,12.9,16.3,322,52,17,1,49,5,62
안현민,52001,160,5,0.431,0.218,16.2,20.0,124,24,8,2,26,8,32
최정,75847,307,20,0.429,0.306,12.1,22.5,258,41,17,1,37,6,69
강백호,68050,357,25,0.422,0.296,10.4,20.2,314,55,18,0,37,1,72
페라자,54730,378,17,0.418,0.239,14.6,19.8,314,59,22,1,55,3,75
박찬형,55530,26,1,0.417,0.12,0.0,30.8,25,9,0,0,0,1,8
박준순,55252,247,13,0.416,0.257,4.9,19.8,230,49,10,5,12,4,49
송찬의,68110,224,9,0.41,0.251,9.8,24.1,191,28,19,1,22,10,54
구자욱,62404,299,8,0.408,0.176,12.0,15.1,256,61,15,3,36,3,45
최원준,66606,387,7,0.406,0.142,11.1,14.7,330,87,20,3,43,7,57
김현준,51417,21,0,0.405,0.059,14.3,9.5,17,5,1,0,3,1,2
레이예스,54529,378,12,0.401,0.168,8.7,10.6,340,86,19,1,33,2,40
최형우,72443,359,12,0.401,0.175,14.8,14.2,297,67,16,0,53,3,51
이정훈,67644,73,1,0.398,0.068,17.8,9.6,59,18,1,0,13,1,7
나성범,62947,338,17,0.395,0.237,10.7,26.3,295,51,19,0,36,5,89
한준수,68646,264,6,0.395,0.162,13.6,14.0,216,46,17,0,36,6,37
박민우,62907,339,5,0.394,0.121,13.9,11.5,282,70,19,0,47,6,39
박승규,69418,262,9,0.394,0.217,15.3,14.1,217,38,10,5,40,3,37
박성한,67893,386,3,0.383,0.098,14.5,11.9,327,83,21,1,56,1,46
디아즈,54400,395,16,0.379,0.199,12.4,15.7,342,63,20,0,49,1,62
고준휘,56949,45,2,0.379,0.22,4.4,20.0,41,7,3,0,2,2,9
허인서,52764,256,13,0.376,0.21,8.2,28.9,224,45,8,0,21,6,74
최준우,68868,48,1,0.375,0.128,16.7,14.6,39,8,2,0,8,1,7
박건우,79215,331,16,0.374,0.211,12.4,17.8,280,53,11,0,41,1,59
힐리어드,56034,384,20,0.372,0.233,9.4,27.9,344,60,14,3,36,0,107
유준규,51013,53,0,0.372,0.136,11.3,24.5,44,11,2,2,6,0,13
아데를린,56613,130,10,0.369,0.289,5.4,19.2,121,17,5,0,7,1,25
허경민,79240,201,3,0.368,0.109,8.5,8.5,174,42,10,0,17,8,17
고명준,51868,163,10,0.368,0.243,6.1,21.5,152,26,7,0,10,0,35
블레인,56950,22,0,0.368,0.0,18.2,13.6,17,6,0,0,4,0,3
김주원,51907,380,13,0.367,0.165,7.6,13.9,334,70,16,0,29,13,53
박상준,52634,81,2,0.366,0.13,13.6,30.9,69,15,3,0,11,1,25
권동진,51003,162,1,0.364,0.149,13.6,23.5,134,24,11,3,22,2,38
이재현,52415,149,9,0.364,0.242,12.8,13.4,124,19,3,0,19,2,20
류지혁,62234,335,5,0.363,0.132,12.2,14.3,281,62,12,5,41,6,48
문현빈,53764,387,9,0.36,0.173,10.9,12.4,335,58,23,4,42,6,48
데이비슨,54944,287,9,0.359,0.164,5.9,23.7,250,48,12,1,17,18,68
노시환,69737,357,17,0.359,0.214,9.2,26.9,313,51,14,1,33,7,96
김민석,53554,302,4,0.359,0.117,10.6,17.2,266,61,15,2,32,2,52
이우성,63260,309,6,0.358,0.115,5.8,14.9,288,74,15,0,18,1,46
에레디아,53827,375,15,0.357,0.181,5.9,15.7,342,68,17,0,22,7,59
카메론,56251,320,9,0.357,0.187,10.0,16.9,283,46,20,3,32,3,54
박정우,67609,56,0,0.354,0.022,14.3,10.7,45,13,1,0,8,2,6
한승연,52628,36,1,0.353,0.138,13.9,30.6,29,5,1,0,5,2,11
장성우,78548,213,8,0.352,0.198,17.8,24.4,172,20,10,0,38,2,52
카스트로,56626,183,6,0.351,0.175,4.9,17.5,171,34,12,0,9,0,32
김태연,66704,263,6,0.35,0.158,8.4,16.7,222,46,13,2,22,5,44
김성욱,62934,141,4,0.349,0.137,13.5,19.1,117,23,4,0,19,3,27
윤동희,52591,197,5,0.346,0.161,12.7,23.9,168,25,12,0,25,4,47
박건우,55509,14,0,0.345,0.071,0.0,35.7,14,4,1,0,0,0,5
박정현,50709,25,2,0.345,0.304,8.0,24.0,23,2,1,0,2,0,6
김동현,55502,41,2,0.345,0.25,9.8,19.5,36,4,1,1,4,1,8
안치홍,79608,319,7,0.345,0.12,10.0,14.4,283,62,13,0,32,2,46
여동욱,55393,81,3,0.344,0.154,13.6,30.9,65,11,1,0,11,4,25
한동희,68525,204,7,0.344,0.159,7.8,17.2,182,36,8,0,16,3,35
