Player,pcode,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9
박신지,68249,3.0,9,9,0,1,0,3,2.2,9.0,3.0
브룩스,50636,150.0,450,131,4,24,3,130,2.35,7.8,1.44
플렉센,50234,115.2,347,97,6,30,2,132,2.42,10.27,2.33
김진성,75867,47.1,142,41,4,10,0,56,2.57,10.65,1.9
구창모,65933,96.0,288,61,7,19,0,104,2.58,9.75,1.78
박준표,63638,51.1,154,41,3,7,0,44,2.65,7.71,1.23
스트레일리,50558,194.1,583,148,10,51,7,205,2.65,9.49,2.36
조상우,63342,54.0,162,50,3,18,2,64,2.66,10.67,3.0
알칸타라,69045,197.2,593,174,12,30,9,182,2.74,8.29,1.37
정수민,66960,15.2,47,11,0,5,0,11,2.75,6.32,2.87
이승헌,68529,36.2,110,34,1,11,2,34,2.76,8.35,2.7
강재민,50705,49.0,147,41,3,18,0,57,2.77,10.47,3.31
고우석,67119,42.0,126,37,2,18,2,51,2.82,10.93,3.86
함덕주,63248,54.2,164,55,2,21,0,55,2.82,9.05,3.46
요키시,69343,159.2,479,144,6,25,6,115,2.83,6.48,1.41
권혁,72447,7.2,23,11,0,4,0,7,2.94,8.22,4.7
이창재,65057,8.0,24,10,0,4,0,7,2.95,7.88,4.5
전상현,66609,48.0,144,35,4,22,0,64,2.99,12.0,4.12
정우람,74857,54.2,164,58,4,12,5,53,3.15,8.73,1.98
오승환,75421,46.2,140,44,2,15,2,39,3.18,7.52,2.89
김건국,76225,31.2,95,30,2,9,3,31,3.2,8.81,2.56
진해수,76650,50.1,151,54,3,23,4,59,3.24,10.55,4.11
이승진,64805,51.1,154,55,3,22,2,54,3.26,9.47,3.86
브리검,67313,106.2,320,98,6,42,5,105,3.28,8.86,3.54
김민규,68200,53.1,160,47,3,22,3,54,3.31,9.11,3.71
우규민,73117,48.0,144,61,3,9,1,30,3.39,5.62,1.69
가뇽,50640,161.1,484,163,7,65,9,141,3.39,7.87,3.63
안우진,68341,35.2,107,20,3,17,0,41,3.42,10.35,4.29
김대우,78536,49.1,148,48,1,26,2,43,3.42,7.84,4.74
김태훈,62360,63.1,190,70,1,22,5,40,3.42,5.68,3.13
이보근,75342,46.1,139,42,2,11,2,27,3.44,5.24,2.14
이현승,76329,42.1,127,48,2,21,2,42,3.46,8.93,4.46
루친스키,69940,183.0,549,173,14,57,11,167,3.48,8.21,2.8
김상수,76430,51.1,154,52,3,21,3,47,3.53,8.24,3.68
김재윤,65062,60.2,182,62,7,15,0,58,3.53,8.6,2.23
이준영,65665,23.2,71,31,1,13,0,22,3.54,8.37,4.94
소형준,50030,132.2,398,141,6,45,6,92,3.55,6.24,3.05
조현우,64047,46.1,139,38,1,23,1,33,3.61,6.41,4.47
양현종,77637,172.2,518,180,13,64,5,149,3.65,7.77,3.34
최성훈,62146,33.1,100,36,1,16,1,24,3.68,6.48,4.32
한현희,62363,135.1,406,141,10,37,14,109,3.68,7.25,2.46
이상동,69054,6.0,18,11,0,3,0,3,3.7,4.5,4.5
이인복,64565,45.1,136,57,2,12,1,21,3.71,4.17,2.38
켈리,69103,173.2,521,160,16,40,11,134,3.74,6.94,2.07
정우영,69159,75.1,226,48,3,29,11,59,3.74,7.05,3.46
임기영,62754,127.1,382,152,12,33,9,106,3.75,7.49,2.33
최채흥,68419,145.1,436,131,12,51,7,123,3.78,7.62,3.16
정찬헌,78148,110.1,331,116,10,31,4,85,3.79,6.93,2.53
문승원,62869,146.0,438,136,13,45,6,117,3.8,7.21,2.77
원종현,76118,57.0,171,56,4,20,2,41,3.83,6.47,3.16
윌슨,68135,143.1,430,161,13,39,8,109,3.84,6.84,2.45
최동환,79140,56.2,170,54,6,12,2,42,3.84,6.67,1.91
박치국,67266,72.2,218,67,5,33,6,67,3.86,8.3,4.09
윤희상,74838,3.0,9,1,0,2,0,2,3.87,6.0,6.0
데스파이네,50040,206.2,620,233,18,68,8,152,3.96,6.62,2.96
김진영,67737,53.1,160,48,6,22,3,56,3.97,9.45,3.71
윤대경,63464,50.2,152,48,3,25,3,42,3.97,7.46,4.44
임찬규,61101,147.2,443,143,14,65,5,138,3.99,8.41,3.96
뷰캐넌,50404,174.0,522,172,16,50,7,121,3.99,6.26,2.59
라이트,50912,156.1,469,164,12,63,10,125,4.0,7.2,3.63
장민재,79764,57.1,172,86,5,13,2,32,4.0,5.02,2.04
김동혁,50360,8.2,26,8,1,1,1,6,4.01,6.23,1.04
양현,61268,59.1,178,58,4,18,3,33,4.03,5.01,2.73
박민호,64893,51.1,154,43,4,19,2,36,4.04,6.31,3.33
최지광,67421,44.2,134,34,2,31,3,45,4.05,9.07,6.25
홍성민,62655,25.2,77,20,2,6,2,14,4.06,4.91,2.1
최준용,50556,29.2,89,31,3,11,2,26,4.08,7.89,3.34
한승혁,66557,6.2,20,8,0,4,0,3,4.1,4.05,5.4
박진우,63991,42.2,128,47,2,13,6,22,4.11,4.64,2.74
성재헌,50109,4.1,13,6,0,1,1,1,4.12,2.08,2.08
쿠에바스,69032,158.0,474,152,16,45,9,110,4.15,6.27,2.56
홍건희,61643,68.2,206,74,8,22,5,60,4.15,7.86,2.88
라이블리,69439,111.2,335,98,11,39,12,95,4.15,7.66,3.14
이민호,50126,97.0,291,94,5,44,10,67,4.16,6.22,4.08
박진형,63512,42.2,128,56,7,13,4,50,4.18,10.55,2.74
송윤준,61156,23.0,69,23,1,13,1,16,4.2,6.26,5.09
김원중,62528,58.2,176,52,8,23,0,57,4.21,8.74,3.53
샘슨,50524,130.2,392,167,14,36,6,87,4.23,5.99,2.48
고영창,63628,57.1,172,88,3,17,5,23,4.23,3.61,2.67
장웅정,50706,7.2,23,7,0,6,0,5,4.24,5.87,7.04
임창민,78352,37.2,113,39,4,23,2,44,4.24,10.51,5.5
김강률,77263,27.1,82,36,1,20,4,28,4.26,9.22,6.59
최원준,67263,122.2,368,134,15,35,7,94,4.28,6.9,2.57
임정호,63959,40.2,122,32,3,20,7,38,4.28,8.41,4.43
구승민,63543,60.1,181,40,8,26,0,58,4.29,8.65,3.88
김재웅,67391,58.2,176,64,7,23,2,51,4.29,7.82,3.53
송은범,73801,55.2,167,66,4,19,3,28,4.31,4.53,3.07
송승준,77591,24.1,73,30,2,14,3,25,4.31,9.25,5.18
정해영,50662,37.1,112,41,2,25,2,32,4.35,7.71,6.03
이태양,60768,55.2,167,68,8,16,1,45,4.37,7.28,2.59
임현준,61457,24.2,74,24,2,7,6,18,4.38,6.57,2.55
하준호,78517,41.2,125,38,1,28,2,26,4.42,5.62,6.05
박희수,76858,24.2,74,28,4,10,0,26,4.42,9.49,3.65
이영하,66291,131.1,394,148,9,66,5,85,4.42,5.82,4.52
김선기,66018,22.0,66,17,1,8,4,11,4.43,4.5,3.27
권휘,50203,13.2,41,16,1,6,2,10,4.44,6.59,3.95
킹엄,50815,10.1,31,16,1,4,0,6,4.46,5.23,3.48
박상원,67703,57.1,172,62,8,20,4,52,4.46,8.16,3.14
남호,69104,18.1,55,13,1,12,1,14,4.51,6.87,5.89
전유수,75340,45.1,136,46,3,22,3,27,4.52,5.36,4.37
류희운,64029,8.1,25,14,1,4,0,7,4.52,7.56,4.32
서폴드,69744,163.2,491,203,19,42,13,97,4.53,5.33,2.31
문성현,60336,15.0,45,13,1,11,0,13,4.53,7.8,6.6
윤명준,62242,41.0,123,51,4,14,1,20,4.59,4.39,3.07
김영규,68900,67.2,203,83,12,14,2,55,4.59,7.32,1.86
김민우,65764,133.2,401,121,15,72,9,126,4.59,8.48,4.85
변시원,62263,5.0,15,8,0,3,0,1,4.6,1.8,5.4
박세웅,64021,147.0,441,177,20,47,8,108,4.62,6.61,2.88
주권,65060,70.2,212,54,6,31,1,37,4.62,4.71,3.95
유희관,79229,137.0,411,190,14,39,3,56,4.63,3.68,2.56
차우찬,76455,64.0,192,71,8,28,2,51,4.64,7.17,3.94
박종훈,60841,158.2,476,153,16,79,22,137,4.69,7.77,4.48
진명호,79545,31.1,94,29,3,22,2,32,4.7,9.19,6.32
이영준,64051,40.1,121,41,5,18,2,32,4.71,7.14,4.02
김민수,65048,103.2,311,151,14,30,4,63,4.72,5.47,2.6
송명기,69962,87.2,263,78,12,39,2,72,4.74,7.39,4.0
이승호,67603,119.0,357,132,15,41,5,73,4.77,5.52,3.1
김유영,64596,7.0,21,4,0,7,0,5,4.77,6.43,9.0
박종기,63292,26.0,78,30,3,14,0,20,4.78,6.92,4.85
이민우,65616,106.0,318,129,11,47,6,67,4.78,5.69,3.99
홍정우,65496,30.1,91,37,5,12,1,28,4.78,8.31,3.56
김종수,63765,49.2,149,54,6,26,3,43,4.79,7.79,4.71
장시환,77318,132.0,396,139,15,74,8,115,4.8,7.84,5.05
김윤식,50157,71.1,214,90,7,28,6,39,4.81,4.92,3.53
김윤수,68403,56.1,169,66,6,31,1,41,4.83,6.55,4.95
채드벨,69748,77.1,232,85,10,35,5,61,4.86,7.1,4.07
노경은,73211,132.2,398,139,19,40,3,77,4.87,5.22,2.71
오현택,79293,36.0,108,37,5,8,2,17,4.89,4.25,2.0
배제성,65516,141.2,425,133,12,79,4,83,4.89,5.27,5.02
손정욱,63914,12.1,37,16,1,5,1,5,4.9,3.65,3.65
오원석,50859,9.1,28,12,1,6,1,9,4.91,8.68,5.79
강동연,61295,24.0,72,27,3,11,1,17,4.91,6.38,4.12
김건태,60339,34.1,103,29,4,25,2,37,4.92,9.7,6.55
권오준,99445,16.0,48,22,3,3,0,10,4.95,5.62,1.69
노성호,62920,36.0,108,28,3,29,2,34,4.98,8.5,7.25
김대우,61365,77.1,232,95,9,26,6,37,5.0,4.31,3.03
채지선,65241,33.0,99,34,3,24,5,33,5.02,9.0,6.55
서준원,69539,107.2,323,130,16,31,5,60,5.02,5.02,2.59
이건욱,64861,121.2,365,105,11,81,6,91,5.02,6.73,5.99
유원상,76757,63.2,191,52,8,28,1,37,5.04,5.23,3.96
김성민,67828,22.2,68,28,3,12,3,21,5.05,8.34,4.76
이정용,69134,34.0,102,32,6,15,2,33,5.05,8.74,3.97
조덕길,63348,44.1,133,48,6,19,2,29,5.07,5.89,3.86
최원태,65320,110.0,330,115,16,37,7,67,5.07,5.48,3.03
윤성환,74454,18.0,54,19,0,11,3,4,5.09,2.0,5.5
윤정현,69399,26.2,80,54,3,10,2,11,5.19,3.71,3.38
강지광,79130,4.0,12,7,1,1,0,4,5.2,9.0,2.25
김성훈,69098,3.0,9,1,0,4,0,3,5.2,9.0,12.0
원태인,69446,141.1,424,166,20,56,6,80,5.22,5.09,3.57
핀토,50835,161.0,483,198,19,90,11,112,5.22,6.26,5.03
강윤구,79358,20.2,62,31,3,11,0,15,5.23,6.53,4.79
문경찬,65643,52.0,156,51,11,15,2,44,5.24,7.62,2.6
양기현,67365,23.1,70,24,3,10,1,12,5.26,4.63,3.86
남재현,66660,16.0,48,20,1,11,1,8,5.26,4.5,6.19
장필준,77927,36.0,108,46,6,16,0,26,5.26,6.5,4.0
신정락,60140,12.0,36,15,2,7,2,14,5.28,10.5,5.25
양창섭,68415,6.2,20,6,1,3,0,4,5.3,5.4,4.05
이승현,60146,54.1,163,45,11,25,0,52,5.3,8.61,4.14
조영우,64768,76.1,229,96,12,25,2,38,5.31,4.48,2.95
김세현,76350,41.1,124,44,7,22,1,35,5.38,7.62,4.79
윤규진,73750,3.2,11,7,1,1,0,4,5.38,9.82,2.45
서진용,61895,61.1,184,52,11,34,1,56,5.42,8.22,4.99
백정현,77446,59.0,177,67,13,17,1,46,5.42,7.02,2.59
이재학,60263,90.0,270,105,14,43,5,61,5.47,6.1,4.3
임준섭,62611,8.1,25,18,1,6,0,6,5.48,6.48,6.48
하재훈,69813,13.0,39,19,2,8,0,10,5.51,6.92,5.54
김태훈,79847,61.2,185,61,8,39,4,43,5.58,6.28,5.69
홍상삼,78247,48.0,144,32,5,54,3,61,5.58,11.44,10.12
안영명,73738,45.1,136,51,9,18,2,34,5.6,6.75,3.57
김기훈,69620,52.0,156,58,8,31,2,39,5.6,6.75,5.37
장원삼,76355,35.2,107,52,6,10,3,15,5.64,3.79,2.52
김명신,67246,15.1,46,20,3,4,3,11,5.68,6.46,2.35
박정수,65639,33.1,100,25,4,24,6,29,5.72,7.83,6.48
허윤동,50449,44.2,134,43,4,31,2,18,5.77,3.63,6.25
김범수,65769,55.0,165,55,9,42,3,55,5.78,9.0,6.87
서균,64759,7.1,22,7,0,6,1,1,5.79,1.23,7.36
