Player,pcode,PA,HR,wOBA,ISO,BB%,K%,AB,1B,2B,3B,BB,HBP,SO
김병희,64014,70,5,0.452,0.346,18.6,21.4,52,7,3,0,13,3,15
양의지,76232,559,30,0.435,0.256,12.3,10.7,480,95,29,2,69,11,60
강백호,68050,624,16,0.427,0.174,16.5,13.6,516,122,40,1,103,1,85
이정후,67341,540,7,0.42,0.162,11.5,6.9,464,112,42,6,62,9,37
최정,75847,552,35,0.419,0.284,15.2,18.5,436,68,17,1,84,22,102
권희동,63963,166,8,0.395,0.203,17.5,14.5,133,24,3,0,29,5,24
한유섬,62895,517,31,0.393,0.256,11.6,18.6,442,73,18,1,60,10,96
홍창기,66108,653,4,0.392,0.08,16.7,14.5,524,140,26,2,109,16,95
추신수,51817,577,21,0.385,0.187,17.9,21.3,461,80,19,2,103,12,123
전준우,78513,617,7,0.384,0.121,8.6,11.5,552,139,46,0,53,5,71
김재환,78224,570,27,0.383,0.227,14.2,22.3,475,78,23,2,81,5,127
알테어,50923,559,32,0.383,0.242,10.2,27.9,492,81,19,2,57,11,156
오재일,75334,480,25,0.383,0.227,12.1,22.1,418,74,20,0,58,0,106
박지훈,50204,14,0,0.382,0.083,7.1,21.4,12,3,1,0,1,1,3
최정민,62893,19,0,0.381,0.0,15.8,36.8,15,5,0,0,3,1,7
구자욱,62404,606,22,0.38,0.214,7.9,16.2,543,104,30,10,48,6,98
남태혁,66052,22,1,0.379,0.2,4.5,31.8,20,4,1,0,1,1,7
피렐라,51463,617,29,0.376,0.21,9.2,14.4,553,102,25,2,57,8,89
노시환,69737,458,18,0.376,0.195,15.9,23.4,380,66,18,1,73,1,107
김태연,66704,220,3,0.375,0.119,15.5,20.0,176,38,12,0,34,5,44
나성범,62947,612,33,0.373,0.228,6.2,25.3,570,97,29,1,38,11,155
유한준,74339,337,5,0.371,0.11,13.1,10.1,282,66,16,0,44,7,34
박건우,79215,529,6,0.37,0.116,9.5,13.6,458,110,31,2,50,11,72
박석민,74465,201,10,0.37,0.222,13.4,21.4,171,26,8,0,27,2,43
한석현,64101,26,0,0.37,0.19,11.5,26.9,21,3,2,1,3,1,7
강민호,74540,458,18,0.369,0.187,9.8,11.6,406,78,22,0,45,4,53
페르난데스,69209,621,15,0.367,0.128,10.5,5.6,540,131,24,0,65,6,35
김성표,63435,24,0,0.366,0.0,20.8,29.2,18,6,0,0,5,0,7
정훈,60523,557,14,0.365,0.146,12.2,16.0,486,100,27,1,68,3,89
안치홍,79608,492,10,0.361,0.152,10.6,11.8,421,87,30,2,52,3,58
양석환,64153,548,28,0.358,0.217,7.7,24.8,488,83,22,0,42,9,136
조수행,66209,104,1,0.358,0.083,15.4,25.0,84,20,2,1,16,3,26
김현수,76290,596,17,0.358,0.15,12.9,7.0,506,103,23,1,77,3,42
권동진,51003,86,1,0.357,0.119,20.9,34.9,67,11,5,0,18,0,30
정은원,68743,608,6,0.357,0.101,17.3,17.3,495,107,22,5,105,1,105
채은성,79192,448,16,0.357,0.176,8.5,17.9,387,71,20,0,38,16,80
최재훈,78288,467,7,0.356,0.112,15.4,14.6,375,75,21,0,72,12,68
이명기,76849,227,2,0.356,0.097,15.4,10.6,185,41,12,0,35,1,24
노진혁,62931,380,8,0.356,0.139,11.1,23.7,330,65,22,0,42,5,90
한동희,68525,497,17,0.355,0.177,12.3,19.1,424,72,24,0,61,6,95
이정범,67807,66,3,0.353,0.22,10.6,22.7,59,8,4,0,7,0,15
손아섭,77532,607,3,0.353,0.077,10.0,11.0,542,139,29,2,61,3,67
최주환,76267,465,18,0.352,0.172,11.4,18.1,406,70,16,0,53,9,84
박동원,79365,478,22,0.351,0.211,11.1,23.8,413,60,21,0,53,7,114
송우현,65362,281,3,0.349,0.12,10.0,17.4,250,52,17,2,28,2,49
이대호,71564,462,19,0.349,0.162,7.4,10.8,420,90,11,0,34,5,50
윤형준,63905,80,5,0.346,0.203,3.8,21.2,74,17,0,0,3,0,17
이용규,74163,543,1,0.344,0.076,13.1,8.5,459,111,16,8,71,5,46
김선빈,78603,566,5,0.344,0.094,9.9,6.9,501,117,32,0,56,1,39
김민혁,64004,199,1,0.341,0.078,9.0,12.1,166,46,6,2,18,2,24
최영진,61197,63,1,0.341,0.14,7.9,19.0,57,12,1,2,5,1,12
이진영,66657,47,2,0.34,0.25,6.4,46.8,40,3,2,1,3,4,22
이현석,65869,85,4,0.34,0.215,5.9,34.1,79,12,5,0,5,0,29
박해민,62415,538,5,0.339,0.086,12.8,15.2,454,104,22,1,69,3,82
김성현,76802,273,6,0.339,0.139,10.6,10.6,237,46,15,0,29,0,29
이성곤,64266,208,1,0.338,0.109,13.9,25.5,174,31,12,2,29,3,53
로맥,67872,423,20,0.338,0.2,13.9,19.6,355,49,11,0,59,4,83
황재균,76313,507,10,0.337,0.11,9.1,18.1,453,104,16,2,46,3,92
손성빈,51528,22,0,0.337,0.0,13.6,27.3,19,6,0,0,3,0,6
박성한,67893,468,4,0.337,0.086,10.5,15.6,407,97,21,1,49,1,73
박병호,75125,472,20,0.335,0.203,10.0,29.9,409,50,23,0,47,14,141
김혜성,67304,632,3,0.333,0.063,10.3,15.3,559,144,20,3,65,1,97
알몬테,51004,247,7,0.332,0.133,8.9,20.2,225,45,9,0,22,1,50
김인태,63257,422,8,0.332,0.119,14.7,15.9,344,65,15,1,62,3,67
김웅빈,65898,280,6,0.331,0.142,12.1,26.1,232,36,13,1,34,9,73
최원준,66606,670,4,0.331,0.076,9.1,10.1,589,143,21,6,61,11,68
지시완,64717,184,7,0.33,0.181,7.6,29.3,166,24,9,0,14,5,54
배정대,64166,592,12,0.329,0.12,11.0,22.3,510,96,23,1,65,12,132
최형우,72443,448,12,0.329,0.142,15.0,15.0,373,59,15,1,67,4,67
유민상,62265,74,1,0.328,0.083,10.8,24.3,60,11,2,0,8,6,18
류지혁,62234,328,2,0.327,0.051,12.8,14.0,273,66,8,0,42,7,46
라모스,50165,205,8,0.327,0.178,8.8,21.0,185,29,7,1,18,2,43
오윤석,64504,198,4,0.327,0.14,13.6,23.7,164,25,11,0,27,2,47
하주석,62700,594,10,0.327,0.12,8.6,22.7,525,103,27,3,51,10,135
오태곤,60558,252,9,0.325,0.157,5.6,20.6,235,44,10,0,14,2,52
박계범,64468,386,5,0.323,0.09,11.4,17.6,322,68,12,1,44,9,68
이형종,78135,282,10,0.323,0.172,12.1,23.0,239,31,11,0,34,7,65
마차도,50506,536,5,0.323,0.082,10.8,12.1,466,103,21,1,58,4,65
김강민,71837,259,8,0.322,0.166,9.7,20.1,223,33,11,1,25,6,52
안중열,64022,158,3,0.321,0.112,17.1,15.8,125,21,5,0,27,1,25
김헌곤,61404,360,4,0.321,0.076,9.4,12.8,317,75,8,2,34,5,46
이정훈,67644,151,2,0.321,0.093,12.6,21.9,129,24,6,0,19,3,33
호잉,68730,294,11,0.32,0.178,8.8,17.7,259,39,11,1,26,4,52
전민수,78361,108,3,0.32,0.122,10.2,21.3,98,19,3,0,11,0,23
김석환,67610,20,1,0.319,0.158,0.0,35.0,19,4,0,0,0,1,7
페레즈,51714,252,5,0.319,0.143,6.7,20.6,224,39,15,1,17,4,52
이재원,76812,313,3,0.319,0.081,9.3,15.0,271,60,13,0,29,5,47
박민우,62907,213,1,0.316,0.078,10.3,10.8,180,38,5,3,22,7,23
정범모,76720,23,1,0.315,0.211,8.7,17.4,19,2,1,0,2,1,4
추재현,68362,297,5,0.315,0.115,8.8,19.2,262,46,15,0,26,7,57
문보경,69102,329,8,0.314,0.133,14.0,19.5,278,44,11,1,46,0,64
서건창,78168,597,6,0.314,0.09,11.6,13.1,513,98,24,2,69,9,78
장성우,78548,460,14,0.314,0.143,13.0,15.0,385,62,13,0,60,3,69
크레익,51309,248,6,0.312,0.135,8.1,17.3,222,37,12,0,20,4,43
김은성,65304,18,0,0.311,0.167,0.0,33.3,18,2,3,0,0,0,6
이병규,76100,43,0,0.311,0.0,18.6,32.6,34,8,0,0,8,1,14
허경민,79240,521,5,0.311,0.088,6.9,6.7,468,100,24,1,36,8,35
최지훈,50854,533,5,0.311,0.1,9.6,13.3,461,91,19,6,51,7,71
터커,69652,540,9,0.31,0.113,11.3,12.2,468,77,24,1,61,8,66
강진성,62925,455,7,0.31,0.101,7.9,14.9,406,74,20,0,36,14,68
천성호,50054,47,0,0.31,0.024,6.4,19.1,42,11,1,0,3,2,9
힐리,51725,268,7,0.309,0.137,6.0,21.6,249,45,11,1,16,2,58
최정원,69992,232,0,0.309,0.038,7.8,17.2,212,54,4,2,18,4,40
오지환,79109,534,8,0.308,0.101,10.1,15.4,464,89,19,2,54,5,82
정수빈,79231,351,3,0.308,0.115,8.3,14.2,313,55,19,4,29,3,50
유강남,61102,442,11,0.307,0.123,5.7,17.0,397,73,16,0,25,14,75
최항,62884,78,0,0.307,0.058,7.7,20.5,69,16,2,1,6,2,16
송성문,65357,275,6,0.306,0.122,9.1,15.3,245,44,10,1,25,1,42
김주원,51907,190,5,0.306,0.145,8.9,30.0,166,27,7,1,17,2,57
신용수,69508,137,1,0.306,0.101,8.0,14.6,119,23,5,2,11,3,20
최인호,50707,164,4,0.305,0.132,14.6,26.2,136,18,6,0,24,2,43
신성현,64086,15,0,0.305,0.0,20.0,40.0,11,2,0,0,3,1,6
김재유,65506,192,1,0.305,0.063,5.2,18.8,174,41,8,0,10,4,36
김주형,69306,70,0,0.304,0.06,5.7,21.4,50,6,3,0,4,13,15
황대인,65610,308,13,0.304,0.181,5.8,20.1,282,43,10,1,18,2,62
심우준,64006,457,6,0.303,0.103,7.0,14.2,407,81,20,2,32,4,65
송준석,64469,55,2,0.303,0.157,5.5,23.6,51,8,2,0,3,1,13
오준혁,61743,49,2,0.303,0.174,8.2,30.6,46,6,2,0,4,0,15
박준태,64657,58,0,0.302,0.065,17.2,27.6,46,6,3,0,10,2,16
허도환,77243,125,2,0.3,0.114,6.4,22.4,105,21,6,0,8,2,28
김민하,61554,142,1,0.298,0.078,12.0,25.4,115,18,4,1,17,8,36
이흥련,63440,146,3,0.297,0.094,8.2,21.2,127,24,3,0,12,5,31
최용제,64213,121,0,0.297,0.029,9.1,17.4,104,26,3,0,11,2,21
프레이타스,51324,148,2,0.296,0.115,4.7,19.6,139,24,10,0,7,1,29
고종욱,61353,196,2,0.296,0.061,8.2,15.3,180,41,5,0,16,0,30
이영빈,51100,170,2,0.296,0.101,8.8,30.0,148,25,9,0,15,3,51
안재석,51203,224,2,0.296,0.09,7.1,23.7,200,39,8,2,16,4,53
