Player,pcode,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9
김기준,53540,3.0,9,2,0,0,0,2,1.87,6.0,0.0
홍건희,61643,3.0,9,4,0,0,0,2,1.87,6.0,0.0
안우진,68341,56.2,170,50,2,18,1,74,2.05,11.75,2.86
이용준,51948,4.0,12,2,0,0,0,2,2.2,4.5,0.0
이종준,50904,3.0,9,1,0,0,1,3,2.2,9.0,0.0
김선기,66018,3.1,10,3,0,1,0,3,2.3,8.1,2.7
김유영,64596,5.1,16,3,0,4,0,8,2.45,13.5,6.75
원종현,76118,30.2,92,33,0,8,0,23,2.48,6.75,2.35
곽빈,68220,101.0,303,89,6,29,4,121,2.56,10.78,2.58
벤자민,52043,79.2,239,78,3,21,1,75,2.64,8.47,2.37
최지광,67421,23.0,69,20,0,7,3,21,2.68,8.22,2.74
류현진,76715,91.2,275,86,4,12,3,72,2.69,7.07,1.18
유토,56348,35.2,107,33,2,9,0,35,2.72,8.83,2.27
조동욱,54768,35.0,105,38,1,11,2,34,2.74,8.74,2.83
이진하,53562,8.2,26,6,0,1,1,5,2.74,5.19,1.04
보쉴리,56036,68.1,205,73,3,15,1,59,2.75,7.77,1.98
원태인,69446,78.0,234,88,3,17,6,70,2.79,8.08,1.96
소형준,50030,65.0,195,73,3,15,3,58,2.85,8.03,2.08
최민석,55268,95.2,287,78,3,38,4,90,3.04,8.47,3.57
전상현,66609,13.2,41,14,1,2,1,12,3.05,7.9,1.32
라일리,55903,67.0,201,61,10,14,0,90,3.08,12.09,1.88
비슬리,56523,89.1,268,98,6,28,9,100,3.08,10.07,2.82
고영표,64001,91.1,274,104,10,12,6,95,3.13,9.36,1.18
곽도규,53609,13.2,41,11,0,6,3,14,3.13,9.22,3.95
올러,55633,103.0,309,67,8,35,6,116,3.15,10.14,3.06
김민준,56840,23.2,71,20,0,12,1,20,3.16,7.61,4.56
김재윤,65062,39.2,119,20,2,18,1,42,3.17,9.53,4.08
김민,68043,44.0,132,44,2,21,2,48,3.18,9.82,4.3
네일,54640,106.1,319,99,5,22,12,84,3.19,7.11,1.86
최지강,52206,15.1,46,21,0,7,3,15,3.2,8.8,4.11
유영찬,50106,13.1,40,5,0,8,0,12,3.2,8.1,5.4
박윤성,53301,3.2,11,3,0,2,0,3,3.2,7.36,4.91
이건욱,64861,23.2,71,20,1,8,1,20,3.2,7.61,3.04
김정우,68830,36.0,108,21,0,12,6,27,3.2,6.75,3.0
윤태호,52202,10.1,31,8,0,6,0,9,3.2,7.84,5.23
로젠버그,55322,30.0,90,37,2,10,3,32,3.23,9.6,3.0
화이트,56724,66.0,198,63,4,13,2,47,3.25,6.41,1.77
스기모토,56011,45.1,136,61,3,9,5,39,3.27,7.74,1.79
조상우,63342,37.1,112,34,1,12,2,25,3.33,6.03,2.89
김태훈,55995,7.1,22,4,0,2,1,4,3.34,4.91,2.45
김시훈,68928,5.0,15,5,0,2,1,4,3.4,7.2,3.6
우강훈,51526,36.1,109,29,3,10,3,35,3.42,8.67,2.48
쿠싱,56760,20.2,62,20,3,6,0,26,3.44,11.32,2.61
이이무라,56503,8.0,24,7,1,1,0,7,3.45,7.88,1.12
웰스,55348,84.0,252,71,7,23,2,72,3.46,7.71,2.46
배동현,51761,78.1,235,97,7,21,2,68,3.51,7.81,2.41
전용주,69047,31.2,95,27,0,21,3,31,3.52,8.81,5.97
