Player,pcode,PA,HR,wOBA,ISO,BB%,K%,AB,1B,2B,3B,BB,HBP,SO
최정,75847,527,46,0.467,0.367,13.3,18.0,430,71,18,1,70,19,95
로사리오,66740,510,37,0.457,0.321,9.8,11.0,445,83,30,1,50,10,56
김재환,78224,637,35,0.445,0.262,12.7,18.1,545,115,34,2,81,7,115
초이스,67394,201,17,0.444,0.347,8.5,21.9,176,28,8,1,17,7,44
최형우,72443,631,26,0.442,0.233,15.2,12.2,516,112,36,3,96,11,77
박건우,79215,544,20,0.432,0.215,7.5,10.5,484,116,40,2,41,10,57
한동민,62895,414,29,0.432,0.32,11.1,18.4,350,51,21,2,46,15,76
나성범,62947,562,24,0.432,0.237,8.7,18.5,498,105,42,2,49,12,104
스크럭스,67935,518,35,0.428,0.295,12.5,24.5,437,72,24,0,65,12,127
최경철,73824,39,2,0.418,0.25,7.7,23.1,32,6,2,0,3,3,9
러프,67450,591,31,0.417,0.254,10.2,16.6,515,93,38,0,60,12,98
김태균,71752,407,17,0.416,0.205,10.6,13.0,356,82,22,0,43,4,53
손아섭,77532,667,20,0.408,0.179,12.4,13.2,576,134,35,4,83,4,88
나지완,78629,552,27,0.407,0.233,11.2,18.1,460,88,20,3,62,23,100
오재일,75334,466,26,0.405,0.255,9.7,15.5,412,73,27,0,45,5,72
강진성,62925,32,1,0.405,0.222,12.5,12.5,27,4,3,0,4,1,4
이성열,73136,318,21,0.404,0.288,6.0,23.0,281,48,16,1,19,9,73
이대호,71564,608,34,0.404,0.213,8.2,13.3,540,126,13,0,50,15,81
박민우,62907,452,3,0.401,0.109,10.2,10.2,387,109,25,4,46,11,46
백창수,60100,122,4,0.4,0.208,9.8,13.9,101,20,9,0,12,4,17
박용택,72133,596,14,0.397,0.136,12.1,13.8,509,136,23,2,72,6,82
최진행,74729,289,13,0.396,0.233,6.6,24.9,258,45,21,0,19,10,72
구자욱,62404,647,21,0.393,0.216,9.7,20.1,564,105,39,10,63,10,130
버나디나,67650,623,27,0.393,0.22,6.6,16.7,558,118,26,8,41,12,104
김선빈,78603,529,5,0.391,0.107,7.4,6.8,476,136,34,1,39,5,36
로하스,67025,368,18,0.39,0.258,6.2,20.4,337,53,27,3,23,5,75
장영석,79334,212,12,0.389,0.269,8.0,21.7,186,24,14,0,17,9,46
채태인,77463,385,12,0.389,0.178,9.1,23.1,342,74,23,1,35,5,89
로맥,67872,416,31,0.387,0.312,12.0,26.2,359,37,19,0,50,6,109
김태완,76746,100,4,0.386,0.189,9.0,24.0,90,19,5,0,9,1,24
김하성,64300,602,23,0.385,0.211,9.6,10.3,527,98,36,3,58,8,62
안치홍,79608,545,21,0.381,0.197,7.9,11.7,487,102,29,2,43,4,64
전준우,78513,496,18,0.38,0.182,6.0,12.5,455,100,27,1,30,7,62
이범호,70756,448,25,0.379,0.233,11.8,16.7,382,65,14,0,53,7,75
에반스,66244,582,27,0.377,0.194,10.5,18.0,515,106,19,0,61,3,105
정의윤,75151,381,15,0.377,0.175,5.0,13.9,349,81,16,0,19,9,53
정근우,75808,442,11,0.375,0.14,7.2,9.3,392,96,22,0,32,10,41
번즈,67598,468,15,0.373,0.196,6.2,19.7,423,75,38,0,29,11,92
이승엽,95436,533,24,0.372,0.237,8.8,12.0,472,73,30,5,47,6,64
김주찬,70410,480,12,0.37,0.179,6.7,11.2,441,84,39,2,32,4,54
강민호,74540,515,22,0.37,0.197,8.0,19.4,456,85,22,1,41,15,100
민병헌,76249,521,14,0.37,0.141,9.0,13.4,447,101,21,0,47,20,70
이호준,94629,187,7,0.369,0.189,9.6,20.9,164,32,10,0,18,1,39
오정복,79453,213,2,0.369,0.097,4.2,10.3,195,54,13,0,9,5,22
정성훈,99606,321,6,0.368,0.116,11.2,15.0,276,66,14,0,36,6,48
서건창,78168,616,6,0.367,0.096,10.9,10.2,540,142,28,3,67,1,63
모창민,78813,528,17,0.366,0.173,7.4,14.2,475,104,25,3,39,2,75
윤석민,74215,588,20,0.365,0.17,5.6,13.1,540,117,30,1,33,8,77
양의지,76232,407,14,0.36,0.164,10.6,11.8,348,67,15,0,43,12,48
권희동,63963,555,19,0.36,0.171,9.2,15.1,473,94,20,2,51,17,84
로니,67134,93,3,0.359,0.177,11.8,14.0,79,14,5,0,11,1,13
김동엽,66838,428,22,0.359,0.219,5.4,12.6,393,68,18,1,23,9,54
이정후,67341,624,2,0.359,0.092,9.6,9.6,554,140,29,8,60,6,60
송광민,76753,473,13,0.358,0.149,4.4,18.0,437,104,26,0,21,3,85
유한준,74339,498,13,0.356,0.13,9.0,10.8,446,105,19,0,45,2,54
박석민,74465,382,14,0.356,0.179,13.1,22.8,319,49,15,0,50,13,87
이명기,76849,514,9,0.354,0.127,5.6,9.3,465,117,24,4,29,3,48
손시헌,73213,392,5,0.354,0.097,4.1,9.2,350,99,17,1,16,8,36
고종욱,61353,454,8,0.353,0.15,4.8,17.8,427,93,24,8,22,3,81
김재호,74206,331,7,0.353,0.145,10.9,15.4,283,57,18,1,36,3,51
배영섭,79465,244,6,0.353,0.142,7.8,16.4,218,48,11,1,19,3,40
최준석,71552,464,14,0.351,0.139,10.6,18.3,409,90,15,0,49,1,85
나주환,73209,452,19,0.35,0.198,4.2,17.0,419,78,24,1,19,5,77
최주환,76267,453,7,0.35,0.122,8.4,11.7,400,91,16,6,38,9,53
박경수,73113,512,16,0.349,0.176,11.1,22.1,443,72,28,1,57,6,113
정현,63450,399,6,0.348,0.126,4.5,15.3,350,76,20,3,18,22,61
김경언,71610,118,5,0.346,0.21,10.2,22.9,105,14,7,0,12,1,27
유강남,61102,364,17,0.346,0.198,3.8,16.2,324,60,13,0,14,15,59
박윤,77848,18,0,0.345,0.062,11.1,22.2,16,4,1,0,2,0,4
박정권,74846,345,16,0.345,0.21,8.7,21.4,305,47,14,1,30,5,74
김원석,62768,212,7,0.345,0.19,4.7,24.1,195,33,12,2,10,5,51
최원준,66606,175,3,0.345,0.153,5.7,9.7,157,30,15,0,10,2,17
이종욱,73339,357,5,0.344,0.094,7.8,8.1,320,79,15,0,28,5,29
김민성,77564,531,15,0.344,0.155,8.3,16.8,472,91,26,1,44,7,89
김재율,61114,198,6,0.343,0.149,5.1,15.2,181,40,9,0,10,2,30
조동찬,72466,393,10,0.341,0.15,5.6,16.8,353,69,23,0,22,10,66
오지환,79109,390,8,0.341,0.135,11.5,25.1,334,66,13,4,45,5,98
정진호,61208,225,5,0.339,0.151,8.4,12.9,199,39,11,2,19,1,29
히메네스,65103,198,7,0.339,0.16,6.6,8.6,181,36,6,1,13,3,17
박헌도,79356,130,4,0.338,0.142,10.8,19.2,113,21,4,0,14,3,25
오선진,78756,209,2,0.338,0.092,7.2,9.1,184,44,11,0,15,4,19
최승준,76158,98,6,0.337,0.244,7.1,30.6,90,11,4,0,7,1,30
정훈,60523,136,1,0.336,0.138,13.2,19.1,109,16,8,2,18,5,26
최항,62884,116,1,0.334,0.104,2.6,23.3,106,25,8,0,3,3,27
박한이,71432,134,4,0.334,0.178,9.7,22.4,118,18,9,0,13,0,30
이원석,75566,459,18,0.334,0.185,7.4,16.3,411,70,20,1,34,4,75
황진수,78566,133,1,0.333,0.111,7.5,27.1,117,25,6,2,10,3,36
서동욱,73606,367,7,0.333,0.138,9.0,20.7,320,61,21,1,33,3,76
김진곤,63088,40,2,0.332,0.179,2.5,22.5,39,8,1,0,1,0,9
양석환,64153,496,14,0.331,0.169,7.7,17.3,445,73,27,3,38,6,86
김성훈,66462,166,0,0.33,0.053,7.2,7.2,151,42,4,2,12,1,12
하주석,62700,470,11,0.33,0.155,4.9,14.3,432,86,18,8,23,5,67
이진영,99810,294,2,0.33,0.126,6.1,10.9,269,49,26,1,18,3,32
이형종,78135,435,9,0.33,0.122,9.2,14.0,378,73,19,0,40,11,61
박동원,79365,285,12,0.33,0.175,6.0,18.2,257,49,9,0,17,3,52
이해창,60343,284,11,0.329,0.173,7.0,15.8,255,47,11,0,20,1,45
이천웅,61186,266,2,0.328,0.086,9.0,15.8,232,50,14,0,24,6,42
허정협,65399,267,9,0.328,0.157,9.0,23.2,229,36,9,0,24,12,62
이택근,73342,269,3,0.326,0.108,9.3,20.4,241,48,15,1,25,1,55
김문호,76509,448,2,0.326,0.064,8.3,15.0,390,94,17,1,37,13,67
양성우,62797,417,2,0.326,0.095,9.1,10.8,358,70,26,1,38,12,45
안익훈,65115,248,1,0.325,0.037,7.3,10.5,219,64,5,0,18,4,26
문선재,79113,106,2,0.325,0.154,9.4,21.7,91,15,6,1,10,1,23
김회성,79705,103,3,0.324,0.153,12.6,19.4,85,13,4,0,13,2,20
박세혁,62244,237,5,0.323,0.114,8.0,17.3,201,44,8,0,19,5,41
오태곤,60558,386,8,0.322,0.154,3.1,19.9,357,66,29,1,12,3,77
노수광,63704,425,6,0.322,0.11,5.9,17.4,382,82,18,3,25,9,74
이상호,60566,242,0,0.322,0.035,2.9,5.8,228,69,8,0,7,2,14
박해민,62415,638,7,0.319,0.109,7.8,11.4,570,122,25,8,50,1,73
김주현,77669,47,0,0.319,0.053,17.0,27.7,38,7,2,0,8,1,13
이홍구,63634,110,10,0.319,0.327,4.5,39.1,101,6,3,0,5,2,43
윤요섭,78892,43,2,0.316,0.179,9.3,16.3,39,6,1,0,4,0,7
오승택,60558,25,1,0.316,0.167,16.0,24.0,18,1,0,0,4,3,6
김호령,65653,105,1,0.316,0.122,8.6,19.0,90,16,6,1,9,2,20
최영진,61197,22,1,0.315,0.35,4.5,13.6,20,1,0,2,1,0,3
송성문,65357,90,1,0.314,0.065,11.1,16.7,77,19,0,1,10,1,15
남태혁,66052,69,2,0.314,0.117,10.1,27.5,60,12,1,0,7,1,19
김헌곤,61404,403,9,0.314,0.124,7.2,9.2,355,70,13,2,29,8,37
정진기,61869,212,11,0.311,0.203,4.2,21.7,197,29,5,1,9,4,46
이우민,71565,215,4,0.311,0.103,7.0,17.2,185,37,5,1,15,10,37
조평호,74358,52,1,0.31,0.136,11.5,23.1,44,6,3,0,6,1,12
김성욱,62934,348,6,0.309,0.142,6.9,15.2,309,48,18,4,24,9,53
심우준,64006,303,4,0.308,0.108,2.6,17.2,286,61,15,2,8,4,52
조용호,64868,225,0,0.307,0.047,11.1,16.9,191,44,7,1,25,3,38
오재원,77248,391,7,0.306,0.116,12.0,21.0,335,55,16,1,47,2,82
김동욱,77462,223,4,0.305,0.1,2.7,17.0,209,47,9,0,6,3,38
장성우,78548,348,8,0.305,0.126,12.4,16.7,294,48,11,1,43,2,58
