Player,pcode,PA,HR,wOBA,ISO,BB%,K%,AB,1B,2B,3B,BB,HBP,SO
이정후,67341,627,23,0.43,0.226,10.5,5.1,553,124,36,10,66,5,32
조민성,52405,16,1,0.429,0.231,12.5,43.8,13,3,0,0,2,1,7
피렐라,51463,630,28,0.424,0.223,8.7,12.9,561,127,33,4,55,12,81
렉스,52547,251,8,0.398,0.165,10.4,17.5,218,53,10,1,26,5,44
나성범,62947,650,21,0.397,0.188,9.8,21.1,564,118,39,2,64,17,137
박병호,75125,488,35,0.391,0.284,8.2,26.8,430,67,17,0,40,12,131
최정,75847,505,26,0.389,0.239,13.1,19.0,414,63,21,0,66,19,96
이대호,71564,592,23,0.385,0.17,7.3,9.5,541,134,23,0,43,2,56
박건우,79215,464,10,0.383,0.122,9.5,13.4,409,108,18,1,44,8,62
알포드,52009,324,14,0.376,0.222,10.2,28.1,284,47,19,1,33,3,91
김재성,65132,185,3,0.375,0.118,9.7,21.6,161,41,10,0,18,2,40
양의지,76232,511,20,0.375,0.196,11.7,9.6,428,77,24,0,60,13,49
한유섬,62895,545,21,0.373,0.214,12.1,25.1,458,66,33,1,66,16,137
김현수,76290,606,23,0.371,0.186,11.7,10.4,526,100,25,2,71,5,63
푸이그,52366,547,21,0.369,0.197,10.6,18.3,473,80,30,0,58,12,100
소크라테스,52630,554,17,0.368,0.183,6.1,14.6,514,107,29,7,34,2,81
고승민,69517,262,5,0.365,0.137,9.5,17.9,234,53,15,1,25,0,47
김민혁,65269,97,5,0.364,0.193,7.2,25.8,88,18,2,0,7,2,25
마티니,52904,577,16,0.363,0.164,8.8,14.9,511,101,34,1,51,8,86
오재일,75334,536,21,0.362,0.223,10.6,24.8,470,63,42,0,57,2,133
문보경,69102,468,9,0.362,0.135,10.3,12.0,407,94,22,3,48,1,56
김강민,71837,202,5,0.361,0.146,8.9,19.3,178,38,11,0,18,3,39
추신수,51817,499,16,0.361,0.171,14.2,20.0,409,69,20,1,71,13,100
문성주,68119,391,6,0.361,0.119,13.3,9.0,327,75,15,3,52,3,35
오지환,79109,571,25,0.36,0.2,10.9,18.7,496,88,16,4,62,7,107
한동희,68525,500,14,0.358,0.151,6.6,12.8,457,99,27,0,33,6,64
라가레스,52806,202,6,0.355,0.149,6.9,8.9,181,42,9,0,14,1,18
터크먼,52712,648,12,0.353,0.141,9.9,16.0,575,113,37,4,64,7,104
최형우,72443,531,14,0.352,0.158,13.7,17.3,455,78,28,1,73,1,92
노진혁,62931,452,15,0.351,0.174,10.0,23.2,397,72,24,0,45,2,105
김재환,78224,517,23,0.351,0.212,11.8,25.7,448,63,24,1,61,4,133
전준우,78513,518,11,0.348,0.14,6.9,14.1,470,100,31,1,36,3,73
채은성,79192,528,12,0.347,0.141,5.3,16.7,468,98,26,2,28,21,88
장성우,78548,423,18,0.347,0.178,12.3,18.9,365,65,11,0,52,2,80
전의산,50820,266,13,0.346,0.232,9.0,31.6,241,31,15,1,24,0,84
김혜성,67304,566,4,0.345,0.085,8.3,14.7,516,135,18,7,47,0,83
안치홍,79608,562,14,0.343,0.152,9.1,9.3,493,96,27,3,51,5,52
최지훈,50854,640,10,0.342,0.123,7.3,12.0,569,127,32,4,47,7,77
조용호,64868,535,3,0.34,0.073,9.3,13.8,477,123,18,4,50,3,74
이재원,68106,253,13,0.339,0.229,7.1,30.4,223,27,8,2,18,12,77
안승한,64011,39,0,0.338,0.083,5.1,30.8,36,9,3,0,2,0,12
강한울,64610,252,1,0.338,0.075,7.9,19.0,226,59,12,1,20,0,48
허경민,79240,493,8,0.337,0.109,7.3,8.1,432,94,23,0,36,16,40
이창진,64560,405,7,0.336,0.101,10.1,15.6,347,83,14,0,41,2,63
정은원,68743,601,8,0.336,0.094,14.1,18.1,508,109,20,2,85,1,109
홍창기,66108,527,1,0.336,0.068,11.2,14.2,439,101,19,4,59,19,75
박동원,79365,448,18,0.335,0.194,10.0,21.4,386,54,21,0,45,9,96
김준태,62558,270,4,0.335,0.13,12.2,28.5,231,42,16,1,33,0,77
이원석,75566,335,10,0.334,0.149,9.9,20.9,288,54,13,0,33,5,70
박성한,67893,564,2,0.334,0.077,10.6,14.4,494,117,24,4,60,2,81
페르난데스,69209,550,6,0.333,0.091,6.4,8.2,508,123,28,0,35,2,45
노시환,69737,490,6,0.33,0.101,9.8,19.4,434,91,24,1,48,4,95
김대한,69238,110,4,0.328,0.208,4.5,24.5,96,12,6,1,5,6,27
고종욱,61353,114,2,0.328,0.142,6.1,18.4,106,20,7,1,7,0,21
양석환,64153,446,20,0.326,0.188,7.2,22.6,405,64,14,1,32,7,101
김선빈,78603,588,3,0.326,0.063,11.1,8.0,506,120,23,0,65,6,47
강민호,74540,444,13,0.326,0.152,9.2,13.1,396,69,19,1,41,3,58
구자욱,62404,442,5,0.325,0.108,6.1,19.0,409,88,23,3,27,3,84
양찬열,50293,94,3,0.325,0.159,11.7,24.5,82,13,4,0,11,0,23
김인태,63257,279,5,0.324,0.089,14.7,16.8,235,47,6,0,41,3,47
안권수,50202,267,0,0.322,0.046,9.7,15.0,239,62,7,2,26,1,40
김태군,78122,235,2,0.321,0.083,7.2,14.5,205,48,11,0,17,4,34
이우성,63260,137,1,0.321,0.083,8.8,14.6,120,27,7,0,12,1,20
류지혁,62234,477,2,0.32,0.072,11.7,17.4,405,88,19,2,56,6,83
손아섭,77532,618,4,0.319,0.089,9.5,12.3,549,115,29,4,59,3,76
김현준,51417,422,0,0.319,0.074,10.7,19.0,363,77,19,4,45,6,80
손호영,50150,82,3,0.319,0.176,7.3,17.1,74,14,0,2,6,0,14
박민우,62907,452,4,0.318,0.092,9.3,12.2,391,78,22,1,42,10,55
김주원,51907,326,10,0.318,0.165,9.2,27.3,273,40,9,3,30,14,89
박해민,62415,638,3,0.317,0.08,6.9,13.3,572,134,21,8,44,9,85
신용수,69508,73,2,0.317,0.206,5.5,20.5,68,8,4,2,4,1,15
김인환,66715,429,16,0.317,0.156,5.6,25.9,398,74,14,0,24,3,111
황대인,65610,525,14,0.316,0.145,6.9,17.5,477,81,27,0,36,7,92
황재균,76313,584,10,0.316,0.115,9.1,17.1,522,99,24,3,53,5,100
라모스,52025,80,3,0.312,0.167,5.0,22.5,72,13,1,1,4,2,18
변우혁,69727,61,3,0.312,0.197,0.0,34.4,61,10,3,0,0,0,21
배정대,64166,578,7,0.312,0.096,9.3,22.0,511,103,24,2,54,4,127
유상빈,52705,49,0,0.311,0.109,0.0,22.4,46,10,5,0,0,0,11
피터스,52526,354,13,0.31,0.174,7.3,21.8,316,43,16,0,26,8,77
황성빈,50500,353,1,0.309,0.072,6.2,15.6,320,77,12,4,22,2,55
강승호,63123,487,10,0.308,0.135,6.0,20.5,444,78,28,1,29,3,100
송찬의,68110,78,3,0.305,0.181,2.6,30.8,72,10,4,0,2,3,24
박찬호,64646,567,4,0.304,0.069,10.1,11.8,494,108,22,0,57,1,67
강백호,68050,266,6,0.304,0.126,8.6,16.5,239,41,12,0,23,1,44
김지찬,50458,429,0,0.302,0.053,10.5,14.9,361,88,7,6,45,2,64
유강남,61102,470,8,0.301,0.096,7.2,20.9,417,82,16,0,34,11,98
하재훈,69813,114,6,0.3,0.243,3.5,35.1,107,10,6,1,4,1,40
김휘집,51344,393,8,0.3,0.114,9.9,29.3,333,53,12,1,39,14,115
장준원,64115,63,3,0.3,0.193,4.8,27.0,57,9,2,0,3,0,17
