Player,pcode,PA,HR,wOBA,ISO,BB%,K%,AB,1B,2B,3B,BB,HBP,SO
장두성,68507,15,0,0.165,0.0,6.7,20.0,13,2,0,0,1,0,3
송민섭,64012,25,0,0.163,0.0,4.0,32.0,23,3,0,0,1,1,8
하주석,62700,38,0,0.159,0.029,5.3,26.3,35,3,1,0,2,1,10
오그레디,53712,86,0,0.157,0.038,5.8,46.5,80,7,3,0,5,0,40
이성곤,64266,16,0,0.154,0.0,6.2,18.8,14,2,0,0,1,0,3
이시원,66702,32,0,0.154,0.0,6.2,18.8,29,4,0,0,2,0,6
유로결,69766,53,0,0.151,0.021,1.9,18.9,48,6,1,0,1,1,10
김건,69702,12,0,0.148,0.0,0.0,66.7,12,2,0,0,0,0,8
이상호,60566,60,0,0.148,0.019,3.3,15.0,54,7,1,0,2,0,9
김병휘,50304,21,0,0.145,0.048,0.0,38.1,21,2,1,0,0,0,8
류현인,53036,24,0,0.14,0.0,4.2,16.7,23,3,0,0,1,0,4
최경모,69802,20,0,0.134,0.0,0.0,25.0,20,3,0,0,0,0,5
신준우,50312,19,0,0.132,0.0,0.0,26.3,18,2,0,0,0,1,5
이재원,76812,49,0,0.127,0.022,4.1,16.3,45,4,1,0,2,0,8
박주찬,69900,14,0,0.127,0.0,0.0,14.3,14,2,0,0,0,0,2
김상민,52402,13,0,0.122,0.0,7.7,23.1,12,1,0,0,1,0,3
박영빈,50906,17,0,0.115,0.071,5.9,35.3,14,0,1,0,1,0,6
최승민,65905,15,0,0.105,0.0,6.7,26.7,14,1,0,0,1,0,4
김태훈,65040,22,0,0.098,0.048,0.0,40.9,21,1,1,0,0,0,9
지시완,64717,10,0,0.089,0.0,0.0,50.0,8,1,0,0,0,0,5
김재현,62332,10,0,0.089,0.0,0.0,30.0,9,1,0,0,0,0,3
신윤후,69508,27,0,0.086,0.0,0.0,29.6,25,1,0,0,0,2,8
주효상,66354,37,0,0.085,0.0,5.4,27.0,32,2,0,0,2,0,10
