Player,pcode,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9,WAR
김태형,55610,23.7,71,25,4,7,5,14,5.74,5.32,2.66,-0.11
윤중현,68619,10.3,31,10,2,7,0,7,6.39,6.1,6.1,-0.13
김민규,68200,9.3,28,9,1,6,4,6,6.52,5.79,5.79,-0.13
김유성,53262,17.3,52,17,3,14,4,22,6.03,11.42,7.27,-0.14
박주성,69328,51.7,155,63,9,16,3,26,5.56,4.53,2.79,-0.15
이의리,51648,39.3,118,41,6,31,3,42,5.64,9.61,7.09,-0.15
권민규,55764,5.3,16,5,1,7,0,4,8.07,6.75,11.81,-0.16
고효준,72523,21.0,63,29,4,14,1,19,6.01,8.14,6.0,-0.16
코엔 윈,55138,18.7,56,25,4,2,3,6,6.15,2.89,0.96,-0.17
제환유,50211,16.0,48,17,2,12,1,8,6.26,4.5,6.75,-0.17
신영우,53919,13.7,41,8,2,16,3,19,6.49,12.51,10.54,-0.18
전준표,54362,20.3,61,33,2,19,3,15,6.25,6.64,8.41,-0.21
송영진,53898,63.3,190,77,10,31,3,40,5.6,5.68,4.41,-0.21
양지율,67365,14.0,42,18,3,7,3,10,6.7,6.43,4.5,-0.22
김동현,55040,3.3,10,7,2,3,0,4,11.3,10.8,8.1,-0.22
김서준,55359,5.3,16,14,2,5,0,4,9.39,6.75,8.44,-0.24
성동현,68159,9.0,27,10,2,9,0,6,7.76,6.0,9.0,-0.25
박기호,54802,24.0,72,23,3,12,8,13,6.24,4.88,4.5,-0.25
한재승,51994,33.0,99,40,5,31,1,34,6.02,9.27,8.45,-0.26
박정훈,55394,20.0,60,22,1,18,4,6,6.55,2.7,8.1,-0.28
이준우,55301,22.7,68,37,6,12,1,22,6.42,8.74,4.76,-0.28
조영건,69360,77.3,232,84,12,38,4,47,5.63,5.47,4.42,-0.28
손현기,54363,3.0,9,4,1,6,1,1,13.87,3.0,18.0,-0.29
육선엽,54404,28.3,85,23,4,24,0,19,6.24,6.04,7.62,-0.29
강건,53006,3.7,11,7,1,7,1,1,12.75,2.45,17.18,-0.3
이승현,60146,33.3,100,42,9,11,1,27,6.17,7.29,2.97,-0.32
김태훈,55995,18.7,56,16,3,15,1,9,6.9,4.34,7.23,-0.33
최준호,53259,16.0,48,18,4,9,2,11,7.14,6.19,5.06,-0.33
김태현,67956,3.0,9,5,2,3,2,2,15.53,6.0,9.0,-0.34
김시훈,68928,25.7,77,33,7,10,0,18,6.51,6.31,3.51,-0.34
최현석,54803,17.0,51,21,5,6,2,11,7.14,5.82,3.18,-0.35
최동환,79140,18.3,55,27,4,12,1,9,7.18,4.42,5.89,-0.38
윤현,55396,21.0,63,31,2,23,5,15,7.01,6.43,9.86,-0.4
김재열,64580,21.3,64,32,5,16,1,16,7.14,6.75,6.75,-0.43
최지민,52639,53.0,159,46,5,51,4,39,6.07,6.62,8.66,-0.45
조민석,52903,13.0,39,12,3,11,2,4,8.58,2.77,7.62,-0.47
김태경,50992,11.0,33,18,4,9,2,10,9.11,8.18,7.36,-0.47
이준혁,52992,36.7,110,43,8,20,6,30,6.53,7.36,4.91,-0.5
임창민,78352,13.0,39,17,5,7,1,6,9.12,4.15,4.85,-0.55
김건국,76225,45.7,137,59,11,17,5,31,6.42,6.11,3.35,-0.57
김연주,54368,51.7,155,67,10,25,6,28,6.43,4.88,4.35,-0.65
김윤하,54319,88.0,264,113,16,44,3,52,5.98,5.32,4.5,-0.67
김녹원,52995,69.3,208,75,10,47,3,37,6.17,4.8,6.1,-0.67
박종훈,60841,19.0,57,15,4,18,5,10,8.52,4.74,8.53,-0.68
김진욱,51516,26.3,79,42,10,16,2,24,8.36,8.2,5.47,-0.9
