Player,pcode,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9
김대우,61365,4.1,13,4,0,0,0,5,0.89,10.38,0.0
김태오,66064,4.1,13,9,0,0,0,5,0.89,10.38,0.0
강윤구,79358,21.1,64,25,0,6,1,27,1.65,11.39,2.53
박상원,67703,12.0,36,11,0,6,0,16,2.03,12.0,4.5
안우진,68341,195.2,587,131,4,55,4,224,2.08,10.3,2.53
김민수,65048,80.1,241,66,3,15,6,91,2.2,10.2,1.68
임정호,63959,24.2,74,21,1,7,2,30,2.39,10.95,2.55
전상현,66609,46.1,139,42,2,16,0,53,2.51,10.29,3.11
안영명,73738,3.1,10,3,0,0,0,1,2.6,2.7,0.0
고영표,64001,183.2,551,193,7,23,16,158,2.61,7.74,1.13
이용찬,77211,60.1,181,56,3,13,3,61,2.62,9.1,1.94
나균안,67539,116.2,350,125,5,37,3,123,2.68,9.49,2.85
정우람,74857,18.2,56,23,1,6,0,20,2.72,9.64,2.89
요키시,69343,185.2,557,169,8,33,5,154,2.72,7.46,1.6
진해수,76650,45.0,135,39,1,11,1,35,2.73,7.0,2.2
김원중,62528,43.0,129,40,4,16,0,60,2.73,12.56,3.35
박세웅,64021,156.2,470,179,8,32,8,146,2.77,8.39,1.84
김재윤,65062,66.1,199,46,5,21,0,78,2.78,10.58,2.85
루친스키,69940,193.2,581,184,14,34,8,194,2.79,9.02,1.58
켈리,69103,168.0,504,145,10,35,2,154,2.8,8.25,1.88
수아레즈,52457,172.2,518,151,7,50,4,159,2.82,8.29,2.61
모리만도,52808,74.0,222,57,2,23,4,67,2.84,8.15,2.8
채지선,65241,3.0,9,1,0,0,1,2,2.87,6.0,0.0
킹험,50815,16.0,48,15,1,5,1,18,2.89,10.12,2.81
고우석,67119,60.2,182,37,6,21,1,80,2.94,11.87,3.12
놀린,52637,124.0,372,115,7,24,8,108,2.97,7.84,1.74
구창모,65933,111.2,335,92,7,29,4,108,2.97,8.7,2.34
한승주,50726,15.0,45,25,0,4,3,12,3.0,7.2,2.4
이채호,68896,36.2,110,28,0,13,6,32,3.01,7.85,3.19
김광현,77829,174.0,522,141,10,45,5,153,3.05,7.91,2.33
반즈,52528,186.0,558,176,8,47,18,160,3.09,7.74,2.27
구승민,63543,61.2,185,46,3,35,1,77,3.09,11.24,5.11
김윤식,50157,114.1,343,125,5,27,1,81,3.09,6.38,2.13
플럿코,52145,161.1,484,125,13,39,2,149,3.16,8.31,2.18
김동혁,50360,26.0,78,28,0,11,1,18,3.2,6.23,3.81
소형준,50030,171.1,514,158,8,39,5,117,3.21,6.15,2.05
주권,65060,50.2,152,58,3,8,0,31,3.22,5.51,1.42
