Player,pcode,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9
석상호,53560,5.1,16,4,0,2,0,6,2.08,10.12,3.38
강건,53006,6.2,20,4,0,3,0,8,2.15,10.8,4.05
조영건,69360,7.2,23,5,0,2,0,7,2.16,8.22,2.35
페디,53913,181.2,545,137,9,35,4,210,2.18,10.4,1.73
안우진,68341,150.2,452,121,5,38,1,164,2.23,9.8,2.27
김재윤,65062,65.1,196,54,2,13,1,60,2.4,8.27,1.79
김원중,62528,63.0,189,51,2,25,5,82,2.44,11.71,3.57
윌커슨,53546,79.2,239,67,3,20,2,81,2.48,9.15,2.26
김진호,67954,16.1,49,15,0,10,1,22,2.53,12.12,5.51
쿠에바스,69032,114.0,342,95,4,24,2,100,2.59,7.89,1.89
함덕주,63248,55.0,165,32,1,22,2,59,2.6,9.65,3.6
박영현,52060,75.0,225,63,3,23,2,79,2.61,9.48,2.76
뷰캐넌,50404,187.0,561,174,4,43,6,139,2.78,6.69,2.07
최성훈,62146,3.0,9,7,0,1,0,2,2.87,6.0,3.0
수아레즈,52457,105.2,317,129,3,32,2,88,2.87,7.5,2.73
고우석,67119,43.2,131,38,2,22,4,59,2.88,12.16,4.53
고영표,64001,174.1,523,181,7,19,9,114,2.9,5.89,0.98
플럿코,52145,124.1,373,117,5,31,3,102,2.9,7.38,2.24
후라도,53375,182.1,547,164,7,41,9,147,2.91,7.26,2.02
구창모,65933,51.2,155,38,4,16,0,56,2.97,9.75,2.79
브랜든,52257,104.1,313,80,4,30,12,100,2.99,8.63,2.59
김규연,51713,19.2,59,16,0,10,2,20,3.0,9.15,4.58
김건국,76225,16.0,48,18,0,4,1,9,3.01,5.06,2.25
요키시,69343,65.0,195,81,3,14,3,51,3.02,7.06,1.94
류진욱,65949,66.2,200,41,1,32,1,62,3.02,8.37,4.32
주현상,65707,60.0,180,35,2,15,3,45,3.03,6.75,2.25
전상현,66609,58.1,175,50,1,26,1,50,3.1,7.71,4.01
벤자민,52043,159.2,479,149,12,45,3,157,3.11,8.85,2.54
반즈,52528,172.0,516,172,6,56,16,150,3.17,7.85,2.93
엄상백,65056,114.2,344,102,6,32,2,92,3.17,7.22,2.51
송윤준,61156,4.1,13,4,0,2,0,3,3.2,6.23,4.15
홍건희,61643,61.2,185,67,4,24,0,62,3.2,9.05,3.5
알칸타라,69045,191.2,575,171,16,35,5,162,3.22,7.61,1.64
김영규,68900,61.2,185,45,2,23,1,48,3.23,7.01,3.36
켈리,69103,177.2,533,183,10,39,6,129,3.24,6.53,1.98
이상민,63960,18.0,54,32,2,3,0,17,3.26,8.5,1.5
최준용,50556,47.2,143,50,2,18,1,40,3.26,7.55,3.4
이종민,50354,13.2,41,22,0,6,1,10,3.27,6.59,3.95
임정호,63959,50.0,150,51,3,17,4,49,3.28,8.82,3.06
김도규,68585,29.2,89,29,1,13,1,26,3.3,7.89,3.94
박민호,64893,10.0,30,14,0,1,2,4,3.3,3.6,0.9
김재웅,67391,59.2,179,56,2,24,0,46,3.3,6.94,3.62
김명신,67246,78.1,235,72,3,27,6,65,3.3,7.47,3.1
박상원,67703,61.2,185,63,2,29,3,57,3.33,8.32,4.23
나균안,67539,128.1,385,140,8,42,5,114,3.33,7.99,2.95
배민서,69974,6.2,20,10,0,2,1,4,3.35,5.4,2.7
우규민,73117,42.2,128,55,3,5,3,28,3.36,5.91,1.05
이태양,60768,100.0,300,100,7,21,3,72,3.39,6.48,1.89
문동주,52701,117.2,353,113,6,42,4,95,3.42,7.27,3.21
김창훈,51586,4.1,13,5,0,1,0,1,3.43,2.08,2.08
박세웅,64021,153.0,459,145,8,59,4,129,3.43,7.59,3.47
김상수,76430,52.1,157,45,1,21,3,36,3.45,6.19,3.61
파노니,52606,81.2,245,86,6,23,2,66,3.46,7.27,2.53
윤호솔,63961,3.2,11,3,0,3,0,4,3.47,9.82,7.36
와이드너,53927,115.0,345,112,7,40,6,99,3.47,7.75,3.13
맥카티,53833,130.0,390,124,10,45,1,116,3.48,8.03,3.12
전용주,69047,10.1,31,6,0,6,1,9,3.49,7.84,5.23
남지민,50720,37.2,113,54,0,13,6,23,3.49,5.5,3.11
양현종,77637,172.1,517,189,13,50,1,135,3.5,7.05,2.61
이정용,69134,87.0,261,100,5,19,2,50,3.52,5.17,1.97
이의리,51648,130.2,392,103,4,93,8,156,3.53,10.74,6.41
임창민,78352,46.2,140,51,3,17,2,40,3.54,7.71,3.28
이우찬,61145,38.1,115,35,1,18,2,30,3.54,7.04,4.23
구승민,63543,63.1,190,65,4,29,5,66,3.55,9.38,4.12
하준영,68639,49.0,147,52,4,19,2,49,3.55,9.0,3.49
김선기,66018,43.2,131,56,2,15,1,29,3.57,5.98,3.09
정찬헌,78148,71.1,214,71,4,13,2,35,3.58,4.42,1.64
이상규,65117,7.2,23,7,0,5,0,6,3.59,7.04,5.87
박치국,67266,52.1,157,54,3,21,5,48,3.6,8.25,3.61
태너,53909,65.0,195,58,6,13,1,47,3.6,6.51,1.8
이상동,69054,40.1,121,45,4,16,0,42,3.6,9.37,3.57
이승현,60146,59.2,179,68,5,15,0,42,3.64,6.34,2.26
이준영,65665,33.1,100,26,0,23,2,30,3.65,8.1,6.21
백정현,77446,100.1,301,100,6,30,0,61,3.66,5.47,2.69
앤더슨,53664,79.1,238,81,6,27,2,64,3.67,7.26,3.06
산체스,53665,63.2,191,79,7,15,4,59,3.67,8.34,2.12
이용찬,77211,60.1,181,53,5,19,3,51,3.68,7.61,2.83
